date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2022-12-13,0.0,0.0,3.0,4.0,4.0
2022-12-14,3.0,0.0,3.0,0.0,3.0
2022-12-15,1.0,0.0,4.0,0.0,2.0
2022-12-16,2.0,1.0,2.0,2.0,5.0
2022-12-17,0.0,1.0,0.0,0.0,1.0
2022-12-18,3.0,6.0,3.0,21.0,2.0
2022-12-19,3.0,15.0,3.0,2.0,3.0
2022-12-20,3.0,0.0,1.0,8.0,1.0
2022-12-21,4.0,4.0,1.0,1.0,1.0
2022-12-22,4.0,1.0,1.0,1.0,0.0
2022-12-23,7.0,3.0,1.0,4.0,1.0
2022-12-24,0.0,0.0,0.0,2.0,0.0
2022-12-25,1.0,1.0,5.0,19.0,3.0
2022-12-26,29.0,6.0,5.0,16.0,4.0
2022-12-27,67.0,12.0,9.0,18.0,8.0
2022-12-28,85.0,19.0,18.0,58.0,13.0
2022-12-29,100.0,16.0,17.0,19.0,18.0
2022-12-30,70.0,14.0,9.0,17.0,3.0
2022-12-31,96.0,16.0,15.0,29.0,12.0
2023-01-01,126.0,13.0,16.0,21.0,15.0
2023-01-02,125.0,23.0,23.0,14.0,23.0
2023-01-03,145.0,24.0,25.0,35.0,16.0
2023-01-04,70.0,20.0,21.0,43.0,12.0
2023-01-05,136.0,7.0,19.0,40.0,20.0
2023-01-06,97.0,23.0,18.0,35.0,15.0
2023-01-07,89.0,20.0,24.0,23.0,25.0
2023-01-08,75.0,17.0,29.0,39.0,20.0
2023-01-09,51.0,10.0,12.0,42.0,10.0
2023-01-10,116.0,10.0,15.0,35.0,8.0
2023-01-11,76.0,8.0,19.0,35.0,13.0
2023-01-12,59.0,10.0,14.0,14.0,11.0
2023-01-13,43.0,13.0,14.0,6.0,14.0
2023-01-14,82.0,11.0,19.0,29.0,25.0
2023-01-15,79.0,13.0,15.0,41.0,15.0
2023-01-16,53.0,18.0,16.0,20.0,13.0
2023-01-17,61.0,15.0,16.0,22.0,12.0
2023-01-18,32.0,7.0,8.0,12.0,7.0
2023-01-19,30.0,10.0,8.0,14.0,4.0
2023-01-20,47.0,4.0,13.0,14.0,9.0
2023-01-21,38.0,6.0,5.0,46.0,7.0
2023-01-22,43.0,3.0,8.0,20.0,10.0
2023-01-23,38.0,9.0,4.0,4.0,6.0
2023-01-24,33.0,11.0,7.0,9.0,7.0
2023-01-25,36.0,3.0,6.0,7.0,3.0
