date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2016-07-22,268.0,21.0,18.0,16.0,5.0
2016-07-23,174.0,19.0,11.0,4.0,5.0
2016-07-24,129.0,6.0,11.0,34.0,10.0
2016-07-25,230.0,18.0,12.0,25.0,5.0
2016-07-26,263.0,22.0,12.0,7.0,5.0
2016-07-27,202.0,11.0,8.0,22.0,8.0
2016-07-28,115.0,10.0,12.0,43.0,8.0
2016-07-29,163.0,12.0,11.0,17.0,9.0
2016-07-30,61.0,6.0,3.0,7.0,4.0
2016-07-31,18.0,7.0,1.0,2.0,0.0
2016-08-01,86.0,7.0,6.0,10.0,6.0
2016-08-02,104.0,8.0,4.0,12.0,2.0
2016-08-03,101.0,7.0,6.0,29.0,4.0
2016-08-04,119.0,5.0,12.0,14.0,4.0
2016-08-05,71.0,5.0,6.0,3.0,3.0
2016-08-06,21.0,6.0,3.0,1.0,1.0
2016-08-07,32.0,5.0,2.0,7.0,0.0
2016-08-08,47.0,6.0,4.0,14.0,5.0
2016-08-09,49.0,3.0,6.0,2.0,1.0
2016-08-10,27.0,2.0,2.0,0.0,0.0
2016-08-11,28.0,4.0,2.0,0.0,1.0
2016-08-12,18.0,5.0,1.0,18.0,1.0
2016-08-13,29.0,3.0,2.0,5.0,0.0
2016-08-14,48.0,7.0,0.0,0.0,0.0
2016-08-15,35.0,8.0,2.0,0.0,1.0
2016-08-16,25.0,3.0,1.0,0.0,0.0
2016-08-17,23.0,2.0,1.0,6.0,0.0
2016-08-18,13.0,3.0,1.0,0.0,1.0
2016-08-19,1.0,0.0,0.0,0.0,0.0
2016-08-20,9.0,3.0,1.0,0.0,0.0
2016-08-21,4.0,1.0,0.0,0.0,0.0
2016-08-22,57.0,4.0,4.0,4.0,2.0
2016-08-23,21.0,1.0,1.0,0.0,1.0
2016-08-24,21.0,5.0,1.0,2.0,1.0
2016-08-25,66.0,4.0,6.0,0.0,4.0
2016-08-26,37.0,5.0,3.0,0.0,0.0
2016-08-27,19.0,2.0,2.0,0.0,0.0
2016-08-28,30.0,4.0,1.0,0.0,1.0
2016-08-29,21.0,2.0,2.0,0.0,1.0
2016-08-30,21.0,3.0,0.0,0.0,0.0
2016-08-31,71.0,4.0,7.0,6.0,4.0
2016-09-01,27.0,2.0,8.0,37.0,6.0
2016-09-02,137.0,9.0,7.0,26.0,10.0
