date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2018-05-29,9.0,2.0,6.0,2.0,3.0
2018-05-30,21.0,9.0,2.0,6.0,1.0
2018-05-31,669.0,27.0,5.0,16.0,5.0
2018-06-01,136.0,22.0,13.0,11.0,4.0
2018-06-02,27.0,6.0,7.0,2.0,0.0
2018-06-03,23.0,3.0,4.0,11.0,0.0
2018-06-04,62.0,7.0,4.0,2.0,6.0
2018-06-05,44.0,5.0,13.0,12.0,4.0
2018-06-06,76.0,12.0,9.0,4.0,0.0
2018-06-07,130.0,16.0,13.0,10.0,0.0
2018-06-08,79.0,7.0,4.0,7.0,1.0
2018-06-09,61.0,3.0,6.0,23.0,4.0
2018-06-10,36.0,2.0,6.0,11.0,1.0
2018-06-11,49.0,7.0,3.0,12.0,3.0
2018-06-12,25.0,1.0,3.0,3.0,1.0
2018-06-13,29.0,0.0,4.0,0.0,0.0
2018-06-14,13.0,1.0,2.0,1.0,2.0
2018-06-15,8.0,0.0,3.0,5.0,2.0
2018-06-16,10.0,0.0,3.0,20.0,1.0
2018-06-17,8.0,1.0,1.0,5.0,3.0
2018-06-18,3.0,0.0,2.0,2.0,1.0
2018-06-19,9.0,0.0,6.0,0.0,4.0
2018-06-20,4.0,0.0,0.0,0.0,0.0
2018-06-21,9.0,0.0,1.0,7.0,0.0
2018-06-22,24.0,0.0,7.0,6.0,8.0
2018-06-23,8.0,1.0,3.0,0.0,0.0
2018-06-24,3.0,0.0,1.0,0.0,1.0
2018-06-25,9.0,0.0,0.0,0.0,2.0
2018-06-26,17.0,2.0,0.0,0.0,0.0
2018-06-27,14.0,1.0,2.0,26.0,1.0
2018-06-28,35.0,6.0,3.0,5.0,2.0
2018-06-29,25.0,1.0,3.0,5.0,1.0
2018-06-30,8.0,0.0,0.0,0.0,0.0
2018-07-01,19.0,4.0,4.0,2.0,3.0
2018-07-02,10.0,1.0,2.0,19.0,1.0
2018-07-03,12.0,0.0,3.0,4.0,4.0
2018-07-04,5.0,0.0,5.0,21.0,5.0
2018-07-05,2.0,2.0,1.0,5.0,1.0
2018-07-06,4.0,1.0,4.0,3.0,6.0
2018-07-07,4.0,1.0,3.0,3.0,1.0
2018-07-08,2.0,0.0,5.0,1.0,4.0
2018-07-09,8.0,0.0,3.0,13.0,3.0
2018-07-10,17.0,1.0,3.0,5.0,3.0
2018-07-11,0.0,1.0,1.0,0.0,0.0
2018-07-12,6.0,2.0,2.0,12.0,3.0
2018-07-13,12.0,1.0,4.0,0.0,1.0
2018-07-14,4.0,0.0,0.0,4.0,0.0
2018-07-15,3.0,0.0,1.0,0.0,0.0
2018-07-16,6.0,1.0,1.0,20.0,0.0
2018-07-17,10.0,5.0,1.0,21.0,0.0
2018-07-18,5.0,2.0,3.0,12.0,1.0
2018-07-19,6.0,2.0,3.0,23.0,3.0
2018-07-20,8.0,0.0,2.0,12.0,1.0
2018-07-21,7.0,1.0,2.0,7.0,3.0
2018-07-22,2.0,0.0,2.0,2.0,1.0
2018-07-23,19.0,1.0,2.0,0.0,0.0
2018-07-24,13.0,2.0,4.0,34.0,3.0
2018-07-25,13.0,2.0,2.0,29.0,1.0
2018-07-26,14.0,9.0,2.0,1.0,2.0
2018-07-27,6.0,0.0,3.0,0.0,1.0
2018-07-28,5.0,0.0,0.0,4.0,0.0
2018-07-29,5.0,1.0,2.0,13.0,0.0
2018-07-30,20.0,1.0,1.0,2.0,0.0
2018-07-31,4.0,1.0,3.0,2.0,0.0
2018-08-01,11.0,1.0,3.0,14.0,3.0
2018-08-02,8.0,1.0,4.0,16.0,4.0
2018-08-03,14.0,6.0,7.0,6.0,4.0
2018-08-04,2.0,0.0,1.0,0.0,2.0
2018-08-05,3.0,2.0,1.0,2.0,0.0
2018-08-06,9.0,1.0,1.0,10.0,0.0
2018-08-07,29.0,7.0,8.0,24.0,1.0
2018-08-08,14.0,4.0,2.0,12.0,3.0
2018-08-09,26.0,9.0,5.0,40.0,7.0
2018-08-10,19.0,2.0,4.0,7.0,2.0
2018-08-11,11.0,0.0,2.0,2.0,1.0
2018-08-12,3.0,2.0,1.0,0.0,0.0
2018-08-13,3.0,0.0,3.0,12.0,2.0
2018-08-14,9.0,0.0,2.0,7.0,2.0
2018-08-15,13.0,3.0,3.0,7.0,1.0
2018-08-16,8.0,3.0,4.0,3.0,1.0
2018-08-17,15.0,1.0,4.0,32.0,10.0
2018-08-18,10.0,2.0,3.0,6.0,1.0
2018-08-19,11.0,0.0,5.0,2.0,2.0
2018-08-20,5.0,0.0,2.0,2.0,1.0
2018-08-21,1.0,0.0,1.0,7.0,3.0
2018-08-22,14.0,6.0,9.0,32.0,7.0
2018-08-23,31.0,6.0,11.0,5.0,4.0
2018-08-24,29.0,5.0,3.0,1.0,3.0
2018-08-25,9.0,0.0,6.0,0.0,2.0
2018-08-26,4.0,1.0,2.0,0.0,4.0
2018-08-27,12.0,1.0,4.0,33.0,3.0
2018-08-28,8.0,1.0,2.0,3.0,3.0
2018-08-29,35.0,6.0,5.0,43.0,5.0
2018-08-30,28.0,4.0,11.0,15.0,5.0
2018-08-31,9.0,4.0,3.0,14.0,3.0
2018-09-01,19.0,2.0,5.0,8.0,5.0
2018-09-02,22.0,0.0,6.0,2.0,3.0
2018-09-03,11.0,2.0,2.0,9.0,2.0
2018-09-04,20.0,2.0,8.0,6.0,5.0
2018-09-05,14.0,1.0,6.0,9.0,1.0
2018-09-06,18.0,5.0,10.0,9.0,10.0
2018-09-07,18.0,0.0,6.0,8.0,1.0
2018-09-08,23.0,2.0,2.0,8.0,3.0
2018-09-09,5.0,0.0,2.0,14.0,3.0
2018-09-10,20.0,4.0,6.0,9.0,5.0
2018-09-11,9.0,0.0,3.0,20.0,2.0
2018-09-12,12.0,1.0,4.0,24.0,5.0
2018-09-13,13.0,1.0,6.0,7.0,3.0
2018-09-14,12.0,3.0,7.0,4.0,4.0
2018-09-15,4.0,0.0,0.0,0.0,0.0
2018-09-16,5.0,3.0,4.0,0.0,3.0
2018-09-17,6.0,0.0,7.0,6.0,6.0
2018-09-18,2.0,0.0,1.0,3.0,2.0
2018-09-19,2.0,0.0,2.0,10.0,1.0
2018-09-20,5.0,0.0,3.0,1.0,3.0
2018-09-21,8.0,5.0,4.0,11.0,1.0
2018-09-22,13.0,9.0,9.0,22.0,6.0
2018-09-23,4.0,2.0,3.0,11.0,1.0
2018-09-24,22.0,4.0,2.0,43.0,6.0
2018-09-25,19.0,3.0,7.0,16.0,6.0
2018-09-26,30.0,0.0,10.0,28.0,5.0
2018-09-27,21.0,2.0,7.0,6.0,5.0
2018-09-28,14.0,2.0,6.0,11.0,3.0
2018-09-29,5.0,2.0,2.0,5.0,2.0
2018-09-30,7.0,2.0,5.0,16.0,8.0
2018-10-01,8.0,3.0,6.0,19.0,1.0
2018-10-02,10.0,1.0,3.0,13.0,2.0
2018-10-03,31.0,3.0,7.0,36.0,5.0
2018-10-04,16.0,4.0,7.0,18.0,6.0
2018-10-05,28.0,4.0,4.0,27.0,6.0
2018-10-06,19.0,3.0,5.0,5.0,2.0
2018-10-07,7.0,2.0,3.0,15.0,2.0
2018-10-08,15.0,2.0,7.0,16.0,4.0
2018-10-09,17.0,1.0,2.0,13.0,1.0
2018-10-10,39.0,2.0,3.0,30.0,6.0
2018-10-11,24.0,2.0,8.0,35.0,5.0
2018-10-12,24.0,6.0,3.0,21.0,4.0
2018-10-13,11.0,3.0,3.0,1.0,2.0
2018-10-14,5.0,1.0,2.0,0.0,2.0
2018-10-15,13.0,1.0,6.0,16.0,3.0
2018-10-16,15.0,2.0,2.0,22.0,4.0
2018-10-17,15.0,1.0,3.0,16.0,1.0
2018-10-18,14.0,4.0,2.0,11.0,2.0
2018-10-19,40.0,1.0,11.0,33.0,3.0
2018-10-20,25.0,3.0,8.0,23.0,11.0
2018-10-21,20.0,2.0,8.0,31.0,6.0
2018-10-22,42.0,2.0,5.0,27.0,0.0
2018-10-23,24.0,2.0,11.0,26.0,10.0
2018-10-24,32.0,2.0,6.0,33.0,6.0
2018-10-25,19.0,0.0,7.0,13.0,3.0
2018-10-26,38.0,1.0,6.0,10.0,9.0
2018-10-27,7.0,1.0,3.0,32.0,3.0
2018-10-28,10.0,2.0,2.0,3.0,1.0
