date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2023-05-13,22.0,9.0,1.0,0.0,1.0
2023-05-14,7.0,2.0,2.0,0.0,1.0
2023-05-15,9.0,2.0,4.0,1.0,1.0
2023-05-16,22.0,9.0,3.0,0.0,3.0
2023-05-17,20.0,3.0,2.0,0.0,0.0
2023-05-18,23.0,6.0,4.0,0.0,3.0
2023-05-19,9.0,1.0,2.0,2.0,1.0
2023-05-20,29.0,18.0,7.0,0.0,5.0
2023-05-21,59.0,16.0,8.0,3.0,8.0
2023-05-22,34.0,5.0,5.0,3.0,3.0
2023-05-23,17.0,4.0,7.0,0.0,3.0
2023-05-24,11.0,4.0,7.0,0.0,3.0
2023-05-25,29.0,10.0,3.0,0.0,2.0
2023-05-26,25.0,7.0,7.0,3.0,5.0
2023-05-27,24.0,1.0,3.0,5.0,4.0
2023-05-28,24.0,6.0,3.0,3.0,3.0
2023-05-29,31.0,10.0,2.0,2.0,1.0
2023-05-30,17.0,9.0,3.0,0.0,2.0
2023-05-31,21.0,3.0,3.0,0.0,2.0
2023-06-01,13.0,2.0,1.0,1.0,2.0
2023-06-02,16.0,6.0,2.0,1.0,3.0
2023-06-03,12.0,3.0,3.0,3.0,3.0
2023-06-04,23.0,3.0,6.0,3.0,3.0
2023-06-05,24.0,4.0,9.0,0.0,10.0
2023-06-06,16.0,3.0,7.0,1.0,6.0
2023-06-07,9.0,2.0,1.0,1.0,1.0
2023-06-08,13.0,1.0,0.0,0.0,0.0
2023-06-09,17.0,5.0,2.0,8.0,1.0
2023-06-10,25.0,3.0,2.0,0.0,3.0
2023-06-11,24.0,2.0,7.0,0.0,4.0
2023-06-12,14.0,2.0,2.0,1.0,1.0
2023-06-13,10.0,6.0,4.0,0.0,1.0
2023-06-14,12.0,7.0,5.0,6.0,4.0
2023-06-15,10.0,1.0,3.0,2.0,3.0
2023-06-16,3.0,0.0,0.0,1.0,1.0
2023-06-17,0.0,1.0,0.0,0.0,0.0
2023-06-18,3.0,0.0,0.0,0.0,0.0
2023-06-19,6.0,1.0,2.0,0.0,0.0
2023-06-20,8.0,5.0,5.0,6.0,6.0
2023-06-21,8.0,4.0,3.0,7.0,1.0
2023-06-22,5.0,1.0,1.0,9.0,1.0
2023-06-23,3.0,1.0,1.0,2.0,2.0
2023-06-24,2.0,1.0,0.0,0.0,0.0
2023-06-25,6.0,3.0,1.0,0.0,0.0
2023-06-26,26.0,1.0,7.0,8.0,6.0
2023-06-27,2.0,3.0,2.0,0.0,2.0
2023-06-28,11.0,1.0,4.0,11.0,4.0
2023-06-29,29.0,14.0,6.0,0.0,3.0
2023-06-30,42.0,18.0,5.0,7.0,6.0
2023-07-01,12.0,0.0,5.0,0.0,3.0
2023-07-02,24.0,5.0,8.0,4.0,6.0
2023-07-03,30.0,22.0,13.0,1.0,11.0
2023-07-04,17.0,7.0,3.0,26.0,1.0
2023-07-05,15.0,8.0,7.0,1.0,9.0
2023-07-06,10.0,11.0,5.0,0.0,5.0
