date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2015-01-01,3.0,1.0,0.0,0.0,0.0
2015-01-02,55.0,2.0,2.0,29.0,2.0
2015-01-03,5.0,1.0,0.0,0.0,0.0
2015-01-04,6.0,1.0,0.0,0.0,0.0
2015-01-05,73.0,12.0,7.0,32.0,0.0
2015-01-06,71.0,12.0,13.0,38.0,7.0
2015-01-07,57.0,6.0,8.0,48.0,3.0
2015-01-08,67.0,13.0,8.0,8.0,8.0
2015-01-09,51.0,12.0,7.0,6.0,2.0
2015-01-10,25.0,3.0,2.0,3.0,0.0
2015-01-11,39.0,6.0,5.0,6.0,0.0
2015-01-12,74.0,11.0,7.0,5.0,5.0
2015-01-13,94.0,15.0,5.0,6.0,2.0
2015-01-14,45.0,10.0,9.0,18.0,0.0
2015-01-15,73.0,17.0,4.0,13.0,1.0
2015-01-16,102.0,9.0,8.0,10.0,4.0
2015-01-17,5.0,2.0,0.0,0.0,0.0
2015-01-18,3.0,1.0,0.0,0.0,1.0
2015-01-19,52.0,6.0,4.0,15.0,4.0
2015-01-20,56.0,12.0,4.0,4.0,4.0
2015-01-21,34.0,9.0,4.0,20.0,0.0
2015-01-22,25.0,2.0,4.0,5.0,0.0
2015-01-23,38.0,7.0,5.0,6.0,0.0
2015-01-24,13.0,1.0,1.0,8.0,0.0
2015-01-25,14.0,4.0,0.0,4.0,0.0
2015-01-26,95.0,16.0,6.0,20.0,4.0
2015-01-27,100.0,13.0,8.0,41.0,4.0
2015-01-28,85.0,13.0,10.0,7.0,5.0
2015-01-29,64.0,7.0,11.0,25.0,7.0
2015-01-30,61.0,14.0,10.0,16.0,3.0
2015-01-31,17.0,1.0,1.0,7.0,0.0
2015-02-01,7.0,1.0,3.0,0.0,1.0
2015-02-02,42.0,9.0,7.0,6.0,3.0
2015-02-03,54.0,7.0,7.0,16.0,2.0
2015-02-04,83.0,11.0,10.0,34.0,4.0
2015-02-05,67.0,11.0,5.0,18.0,2.0
2015-02-06,71.0,5.0,10.0,20.0,1.0
2015-02-07,9.0,1.0,0.0,0.0,0.0
2015-02-08,8.0,0.0,1.0,2.0,0.0
2015-02-09,79.0,6.0,6.0,37.0,5.0
2015-02-10,67.0,11.0,10.0,82.0,6.0
2015-02-11,71.0,19.0,6.0,18.0,4.0
2015-02-12,103.0,8.0,10.0,3.0,3.0
2015-02-13,103.0,8.0,6.0,20.0,3.0
2015-02-14,13.0,2.0,1.0,0.0,0.0
2015-02-15,15.0,4.0,2.0,2.0,0.0
2015-02-16,40.0,4.0,2.0,17.0,2.0
2015-02-17,77.0,12.0,12.0,32.0,4.0
2015-02-18,55.0,8.0,8.0,30.0,2.0
2015-02-19,56.0,16.0,10.0,8.0,7.0
2015-02-20,56.0,12.0,12.0,10.0,4.0
2015-02-21,3.0,3.0,0.0,0.0,0.0
2015-02-22,10.0,1.0,1.0,7.0,0.0
2015-02-23,83.0,20.0,10.0,18.0,6.0
2015-02-24,73.0,18.0,8.0,24.0,7.0
2015-02-25,72.0,13.0,12.0,20.0,8.0
2015-02-26,73.0,14.0,10.0,11.0,7.0
2015-02-27,113.0,7.0,8.0,42.0,6.0
2015-02-28,83.0,3.0,1.0,3.0,0.0
2015-03-01,14.0,2.0,6.0,0.0,0.0
2015-03-02,95.0,7.0,9.0,11.0,3.0
2015-03-03,69.0,14.0,4.0,13.0,2.0
2015-03-04,26.0,10.0,5.0,18.0,1.0
2015-03-05,52.0,13.0,7.0,9.0,1.0
2015-03-06,61.0,9.0,9.0,13.0,3.0
2015-03-07,6.0,1.0,0.0,0.0,2.0
2015-03-08,16.0,1.0,5.0,7.0,1.0
2015-03-09,70.0,7.0,4.0,0.0,0.0
2015-03-10,23.0,7.0,2.0,15.0,0.0
2015-03-11,18.0,14.0,0.0,4.0,0.0
2015-03-12,37.0,8.0,2.0,11.0,2.0
2015-03-13,44.0,5.0,6.0,20.0,1.0
2015-03-14,10.0,2.0,4.0,15.0,0.0
2015-03-15,8.0,2.0,2.0,10.0,0.0
2015-03-16,87.0,9.0,8.0,29.0,4.0
2015-03-17,58.0,12.0,5.0,15.0,4.0
2015-03-18,78.0,8.0,9.0,53.0,3.0
2015-03-19,85.0,10.0,16.0,61.0,8.0
2015-03-20,126.0,10.0,11.0,38.0,4.0
2015-03-21,39.0,5.0,5.0,0.0,1.0
2015-03-22,17.0,3.0,2.0,5.0,0.0
2015-03-23,95.0,14.0,5.0,49.0,1.0
2015-03-24,102.0,10.0,6.0,40.0,4.0
2015-03-25,83.0,15.0,7.0,60.0,1.0
2015-03-26,72.0,14.0,7.0,32.0,0.0
2015-03-27,69.0,7.0,3.0,11.0,2.0
2015-03-28,17.0,2.0,2.0,1.0,2.0
2015-03-29,39.0,2.0,4.0,2.0,0.0
2015-03-30,80.0,6.0,16.0,48.0,6.0
2015-03-31,101.0,19.0,8.0,46.0,5.0
2015-04-01,94.0,11.0,13.0,20.0,2.0
2015-04-02,105.0,14.0,8.0,31.0,6.0
2015-04-03,56.0,11.0,7.0,4.0,3.0
2015-04-04,84.0,10.0,2.0,4.0,3.0
2015-04-05,99.0,3.0,0.0,3.0,0.0
2015-04-06,70.0,5.0,3.0,6.0,1.0
2015-04-07,107.0,10.0,12.0,32.0,7.0
2015-04-08,95.0,14.0,11.0,27.0,2.0
2015-04-09,71.0,13.0,12.0,51.0,11.0
2015-04-10,91.0,10.0,15.0,90.0,6.0
2015-04-11,10.0,4.0,1.0,0.0,0.0
2015-04-12,25.0,2.0,3.0,4.0,0.0
2015-04-13,118.0,14.0,16.0,136.0,5.0
2015-04-14,74.0,7.0,6.0,56.0,8.0
2015-04-15,77.0,17.0,7.0,76.0,3.0
2015-04-16,85.0,9.0,9.0,152.0,2.0
2015-04-17,67.0,6.0,9.0,114.0,3.0
2015-04-18,11.0,1.0,0.0,8.0,0.0
2015-04-19,24.0,5.0,6.0,43.0,0.0
2015-04-20,86.0,12.0,13.0,119.0,7.0
2015-04-21,88.0,9.0,10.0,70.0,10.0
2015-04-22,76.0,17.0,14.0,155.0,9.0
2015-04-23,116.0,13.0,8.0,138.0,6.0
2015-04-24,110.0,19.0,19.0,131.0,13.0
2015-04-25,57.0,4.0,3.0,7.0,1.0
2015-04-26,96.0,3.0,3.0,7.0,3.0
2015-04-27,83.0,17.0,13.0,13.0,5.0
2015-04-28,156.0,3.0,18.0,63.0,15.0
2015-04-29,127.0,14.0,12.0,43.0,7.0
2015-04-30,69.0,11.0,11.0,69.0,7.0
2015-05-01,79.0,8.0,11.0,13.0,4.0
2015-05-02,18.0,4.0,2.0,4.0,0.0
2015-05-03,18.0,4.0,1.0,1.0,0.0
2015-05-04,137.0,14.0,12.0,50.0,13.0
2015-05-05,111.0,12.0,16.0,35.0,10.0
2015-05-06,90.0,13.0,15.0,51.0,8.0
