date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2020-01-02,58.0,36.0,19.0,42.0,13.0
2020-01-03,123.0,13.0,22.0,75.0,21.0
2020-01-04,97.0,18.0,31.0,20.0,28.0
2020-01-05,116.0,18.0,26.0,40.0,25.0
2020-01-06,144.0,16.0,25.0,27.0,18.0
2020-01-07,105.0,11.0,14.0,11.0,14.0
2020-01-08,102.0,17.0,13.0,23.0,11.0
2020-01-09,86.0,7.0,10.0,15.0,10.0
2020-01-10,29.0,2.0,6.0,4.0,4.0
2020-01-11,53.0,9.0,7.0,3.0,7.0
2020-01-12,120.0,10.0,26.0,10.0,22.0
2020-01-13,32.0,7.0,3.0,12.0,1.0
2020-01-14,21.0,3.0,1.0,1.0,2.0
2020-01-15,38.0,2.0,7.0,1.0,5.0
2020-01-16,151.0,16.0,15.0,20.0,11.0
2020-01-17,101.0,11.0,13.0,0.0,12.0
2020-01-18,33.0,2.0,10.0,2.0,9.0
2020-01-19,56.0,6.0,9.0,7.0,8.0
2020-01-20,88.0,9.0,11.0,9.0,11.0
2020-01-21,82.0,7.0,12.0,35.0,6.0
2020-01-22,61.0,8.0,7.0,18.0,11.0
2020-01-23,54.0,6.0,8.0,2.0,5.0
2020-01-24,45.0,2.0,4.0,10.0,5.0
2020-01-25,77.0,5.0,19.0,8.0,17.0
2020-01-26,81.0,0.0,21.0,23.0,21.0
2020-01-27,42.0,7.0,5.0,9.0,4.0
2020-01-28,92.0,2.0,8.0,23.0,3.0
2020-01-29,69.0,3.0,5.0,1.0,6.0
2020-01-30,53.0,10.0,3.0,3.0,5.0
2020-01-31,144.0,5.0,8.0,13.0,8.0
2020-02-01,96.0,5.0,15.0,9.0,13.0
2020-02-02,54.0,8.0,9.0,31.0,4.0
2020-02-03,30.0,6.0,6.0,1.0,9.0
2020-02-04,80.0,10.0,6.0,18.0,5.0
2020-02-05,48.0,7.0,6.0,0.0,8.0
2020-02-06,39.0,2.0,4.0,0.0,1.0
2020-02-07,11.0,1.0,4.0,7.0,6.0
2020-02-08,16.0,0.0,4.0,2.0,3.0
2020-02-09,42.0,6.0,7.0,2.0,7.0
2020-02-10,27.0,6.0,3.0,11.0,3.0
2020-02-11,21.0,3.0,2.0,2.0,1.0
2020-02-12,10.0,0.0,3.0,7.0,2.0
2020-02-13,2.0,0.0,0.0,0.0,0.0
2020-02-14,4.0,0.0,0.0,0.0,1.0
2020-02-15,19.0,1.0,1.0,0.0,2.0
2020-02-16,32.0,1.0,5.0,11.0,4.0
2020-02-17,7.0,1.0,4.0,2.0,3.0
2020-02-18,28.0,0.0,0.0,4.0,0.0
2020-02-19,28.0,4.0,1.0,0.0,2.0
2020-02-20,35.0,0.0,5.0,7.0,1.0
2020-02-21,92.0,6.0,7.0,13.0,7.0
2020-02-22,71.0,4.0,8.0,8.0,8.0
2020-02-23,33.0,1.0,2.0,2.0,3.0
2020-02-24,43.0,9.0,14.0,5.0,13.0
2020-02-25,10.0,1.0,2.0,0.0,2.0
2020-02-26,10.0,0.0,1.0,0.0,0.0
2020-02-27,6.0,1.0,2.0,0.0,1.0
2020-02-28,28.0,5.0,4.0,4.0,6.0
2020-02-29,35.0,4.0,3.0,0.0,3.0
2020-03-01,7.0,0.0,1.0,2.0,2.0
2020-03-02,13.0,0.0,6.0,9.0,5.0
2020-03-03,1.0,0.0,0.0,0.0,0.0
2020-03-04,2.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,1.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,5.0,2.0
2020-03-07,3.0,1.0,0.0,0.0,1.0
2020-03-08,28.0,1.0,4.0,13.0,3.0
2020-03-09,65.0,5.0,15.0,26.0,16.0
2020-03-10,24.0,2.0,3.0,4.0,2.0
2020-03-11,52.0,8.0,9.0,22.0,4.0
2020-03-12,25.0,5.0,5.0,0.0,4.0
2020-03-13,18.0,8.0,3.0,4.0,4.0
2020-03-14,72.0,3.0,9.0,20.0,7.0
2020-03-15,133.0,8.0,11.0,42.0,11.0
2020-03-16,36.0,4.0,9.0,4.0,6.0
2020-03-17,43.0,5.0,7.0,31.0,9.0
2020-03-18,54.0,4.0,11.0,11.0,10.0
2020-03-19,22.0,1.0,5.0,14.0,5.0
2020-03-20,32.0,5.0,9.0,6.0,7.0
2020-03-21,40.0,3.0,6.0,6.0,3.0
2020-03-22,51.0,3.0,10.0,4.0,9.0
2020-03-23,70.0,4.0,11.0,0.0,8.0
2020-03-24,20.0,5.0,5.0,1.0,3.0
2020-03-25,40.0,2.0,6.0,14.0,7.0
2020-03-26,17.0,5.0,2.0,1.0,3.0
