date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2022-10-22,0.0,0.0,1.0,0.0,1.0
2022-10-23,0.0,0.0,0.0,0.0,0.0
2022-10-24,0.0,0.0,1.0,0.0,1.0
2022-10-25,0.0,0.0,4.0,0.0,3.0
2022-10-26,0.0,1.0,6.0,10.0,5.0
2022-10-27,1.0,0.0,5.0,2.0,3.0
2022-10-28,6.0,3.0,5.0,1.0,4.0
2022-10-29,0.0,0.0,1.0,2.0,0.0
2022-10-30,0.0,0.0,0.0,0.0,1.0
2022-10-31,0.0,0.0,2.0,1.0,2.0
2022-11-01,5.0,1.0,4.0,6.0,3.0
2022-11-02,3.0,4.0,4.0,0.0,4.0
2022-11-03,5.0,1.0,2.0,0.0,2.0
2022-11-04,9.0,0.0,1.0,12.0,1.0
2022-11-05,3.0,0.0,6.0,2.0,5.0
2022-11-06,5.0,0.0,3.0,0.0,3.0
2022-11-07,8.0,1.0,9.0,1.0,8.0
2022-11-08,2.0,7.0,3.0,4.0,2.0
2022-11-09,6.0,5.0,10.0,8.0,10.0
2022-11-10,3.0,1.0,6.0,7.0,8.0
2022-11-11,0.0,0.0,4.0,0.0,2.0
2022-11-12,5.0,0.0,7.0,0.0,4.0
2022-11-13,0.0,0.0,2.0,8.0,4.0
2022-11-14,4.0,2.0,8.0,0.0,8.0
2022-11-15,1.0,0.0,7.0,5.0,5.0
2022-11-16,1.0,0.0,3.0,0.0,0.0
2022-11-17,0.0,0.0,6.0,0.0,5.0
2022-11-18,1.0,0.0,2.0,0.0,1.0
2022-11-19,1.0,0.0,2.0,0.0,0.0
2022-11-20,5.0,1.0,5.0,6.0,5.0
2022-11-21,2.0,0.0,3.0,5.0,3.0
2022-11-22,1.0,0.0,4.0,3.0,2.0
2022-11-23,1.0,1.0,5.0,14.0,6.0
2022-11-24,4.0,3.0,2.0,10.0,1.0
2022-11-25,4.0,3.0,5.0,2.0,5.0
2022-11-26,6.0,3.0,12.0,12.0,9.0
2022-11-27,3.0,1.0,2.0,0.0,4.0
2022-11-28,2.0,1.0,3.0,0.0,2.0
2022-11-29,6.0,1.0,7.0,0.0,8.0
2022-11-30,6.0,4.0,3.0,0.0,4.0
2022-12-01,3.0,2.0,3.0,0.0,4.0
2022-12-02,1.0,1.0,8.0,11.0,6.0
2022-12-03,2.0,0.0,8.0,7.0,6.0
2022-12-04,1.0,1.0,1.0,0.0,2.0
2022-12-05,10.0,2.0,7.0,5.0,3.0
2022-12-06,6.0,0.0,3.0,14.0,3.0
2022-12-07,5.0,2.0,3.0,1.0,6.0
2022-12-08,5.0,2.0,3.0,3.0,2.0
2022-12-09,10.0,2.0,4.0,4.0,5.0
2022-12-10,5.0,1.0,5.0,3.0,2.0
2022-12-11,18.0,2.0,6.0,3.0,8.0
2022-12-12,7.0,2.0,9.0,7.0,1.0
2022-12-13,7.0,0.0,6.0,6.0,8.0
2022-12-14,3.0,3.0,4.0,11.0,2.0
2022-12-15,13.0,2.0,9.0,4.0,6.0
2022-12-16,19.0,3.0,9.0,34.0,5.0
2022-12-17,11.0,0.0,2.0,3.0,5.0
2022-12-18,5.0,3.0,7.0,4.0,2.0
2022-12-19,16.0,2.0,8.0,6.0,9.0
2022-12-20,5.0,0.0,6.0,0.0,5.0
2022-12-21,12.0,0.0,4.0,0.0,3.0
2022-12-22,1.0,1.0,5.0,2.0,7.0
2022-12-23,5.0,1.0,7.0,0.0,4.0
2022-12-24,4.0,2.0,8.0,0.0,3.0
2022-12-25,0.0,0.0,4.0,4.0,4.0
2022-12-26,7.0,4.0,7.0,0.0,6.0
2022-12-27,7.0,3.0,5.0,0.0,4.0
2022-12-28,7.0,3.0,17.0,10.0,17.0
2022-12-29,14.0,3.0,16.0,9.0,7.0
2022-12-30,7.0,2.0,15.0,15.0,18.0
2022-12-31,1.0,0.0,3.0,0.0,2.0
2023-01-01,1.0,1.0,4.0,0.0,3.0
2023-01-02,10.0,3.0,4.0,0.0,5.0
2023-01-03,5.0,2.0,9.0,27.0,6.0
2023-01-04,19.0,2.0,7.0,5.0,6.0
2023-01-05,13.0,5.0,7.0,1.0,9.0
2023-01-06,4.0,0.0,6.0,5.0,11.0
2023-01-07,2.0,1.0,1.0,0.0,0.0
2023-01-08,1.0,1.0,3.0,0.0,2.0
2023-01-09,2.0,1.0,2.0,0.0,3.0
2023-01-10,8.0,1.0,9.0,0.0,6.0
2023-01-11,3.0,1.0,7.0,2.0,8.0
2023-01-12,10.0,3.0,12.0,2.0,12.0
2023-01-13,3.0,1.0,9.0,0.0,7.0
2023-01-14,5.0,3.0,2.0,0.0,6.0
2023-01-15,2.0,0.0,3.0,0.0,0.0
2023-01-16,5.0,4.0,6.0,4.0,8.0
2023-01-17,3.0,1.0,3.0,0.0,0.0
2023-01-18,4.0,5.0,11.0,0.0,11.0
2023-01-19,6.0,1.0,6.0,0.0,6.0
2023-01-20,6.0,2.0,6.0,0.0,6.0
2023-01-21,4.0,5.0,8.0,1.0,3.0
2023-01-22,6.0,2.0,13.0,5.0,14.0
2023-01-23,6.0,2.0,5.0,0.0,6.0
2023-01-24,26.0,5.0,9.0,8.0,12.0
2023-01-25,5.0,2.0,13.0,2.0,7.0
2023-01-26,13.0,7.0,7.0,18.0,2.0
