date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2020-01-22,6.0,5.0,7.0,10.0,5.0
2020-01-23,37.0,16.0,30.0,12.0,25.0
2020-01-24,33.0,11.0,16.0,3.0,17.0
2020-01-25,16.0,2.0,7.0,12.0,5.0
2020-01-26,14.0,6.0,3.0,0.0,2.0
2020-01-27,27.0,14.0,16.0,4.0,14.0
2020-01-28,43.0,8.0,29.0,8.0,27.0
2020-01-29,33.0,7.0,20.0,25.0,15.0
2020-01-30,18.0,3.0,15.0,4.0,17.0
2020-01-31,13.0,3.0,15.0,22.0,11.0
2020-02-01,5.0,2.0,6.0,10.0,8.0
2020-02-02,3.0,6.0,3.0,0.0,3.0
2020-02-03,25.0,11.0,5.0,2.0,5.0
2020-02-04,27.0,3.0,6.0,15.0,3.0
2020-02-05,18.0,7.0,13.0,21.0,10.0
2020-02-06,33.0,9.0,13.0,19.0,13.0
2020-02-07,12.0,5.0,17.0,21.0,16.0
2020-02-08,4.0,0.0,7.0,0.0,2.0
2020-02-09,10.0,5.0,3.0,0.0,0.0
2020-02-10,10.0,1.0,3.0,15.0,5.0
2020-02-11,23.0,5.0,13.0,10.0,14.0
2020-02-12,16.0,7.0,23.0,0.0,20.0
2020-02-13,17.0,7.0,23.0,9.0,26.0
2020-02-14,18.0,9.0,11.0,1.0,9.0
2020-02-15,27.0,7.0,16.0,0.0,12.0
2020-02-16,8.0,3.0,0.0,0.0,1.0
2020-02-17,17.0,6.0,2.0,1.0,1.0
2020-02-18,24.0,2.0,5.0,9.0,4.0
2020-02-19,27.0,7.0,6.0,7.0,5.0
2020-02-20,12.0,2.0,4.0,1.0,3.0
2020-02-21,10.0,2.0,2.0,15.0,2.0
2020-02-22,5.0,3.0,0.0,1.0,1.0
2020-02-23,1.0,0.0,1.0,0.0,0.0
2020-02-24,5.0,4.0,5.0,2.0,6.0
2020-02-25,43.0,6.0,11.0,0.0,10.0
2020-02-26,18.0,12.0,14.0,0.0,15.0
2020-02-27,59.0,7.0,7.0,14.0,5.0
2020-02-28,15.0,1.0,14.0,11.0,13.0
2020-02-29,6.0,0.0,2.0,7.0,0.0
2020-03-01,4.0,3.0,1.0,0.0,1.0
2020-03-02,11.0,4.0,10.0,9.0,9.0
2020-03-03,12.0,2.0,12.0,13.0,9.0
2020-03-04,17.0,5.0,21.0,20.0,22.0
2020-03-05,18.0,9.0,14.0,9.0,13.0
2020-03-06,17.0,4.0,20.0,16.0,15.0
2020-03-07,8.0,0.0,9.0,4.0,8.0
2020-03-08,1.0,2.0,3.0,0.0,3.0
2020-03-09,10.0,7.0,9.0,23.0,9.0
2020-03-10,20.0,7.0,18.0,9.0,21.0
2020-03-11,29.0,7.0,13.0,9.0,12.0
2020-03-12,21.0,5.0,11.0,7.0,10.0
2020-03-13,21.0,5.0,22.0,7.0,15.0
2020-03-14,6.0,2.0,2.0,2.0,0.0
2020-03-15,3.0,0.0,1.0,1.0,2.0
2020-03-16,4.0,2.0,3.0,3.0,5.0
2020-03-17,13.0,2.0,9.0,27.0,7.0
2020-03-18,8.0,2.0,8.0,31.0,8.0
2020-03-19,7.0,3.0,7.0,28.0,7.0
2020-03-20,19.0,5.0,13.0,15.0,9.0
2020-03-21,4.0,1.0,10.0,7.0,11.0
2020-03-22,5.0,4.0,7.0,4.0,9.0
2020-03-23,21.0,4.0,21.0,27.0,17.0
2020-03-24,16.0,5.0,17.0,12.0,20.0
2020-03-25,13.0,2.0,16.0,11.0,13.0
2020-03-26,13.0,3.0,16.0,3.0,17.0
2020-03-27,11.0,1.0,17.0,10.0,10.0
2020-03-28,2.0,0.0,6.0,5.0,8.0
2020-03-29,2.0,2.0,2.0,0.0,1.0
2020-03-30,8.0,1.0,5.0,4.0,9.0
2020-03-31,5.0,4.0,14.0,18.0,14.0
2020-04-01,13.0,2.0,14.0,20.0,10.0
2020-04-02,8.0,5.0,11.0,49.0,11.0
2020-04-03,13.0,3.0,10.0,6.0,12.0
2020-04-04,8.0,1.0,8.0,2.0,6.0
2020-04-05,3.0,1.0,1.0,0.0,1.0
2020-04-06,12.0,4.0,4.0,7.0,3.0
2020-04-07,26.0,2.0,16.0,6.0,17.0
2020-04-08,17.0,3.0,20.0,10.0,17.0
2020-04-09,18.0,5.0,11.0,8.0,6.0
2020-04-10,11.0,3.0,9.0,8.0,8.0
2020-04-11,10.0,2.0,2.0,9.0,5.0
2020-04-12,3.0,1.0,4.0,1.0,1.0
2020-04-13,24.0,2.0,10.0,8.0,11.0
2020-04-14,16.0,7.0,16.0,12.0,10.0
2020-04-15,23.0,7.0,16.0,4.0,22.0
2020-04-16,9.0,1.0,21.0,21.0,23.0
2020-04-17,23.0,3.0,13.0,15.0,10.0
2020-04-18,2.0,2.0,6.0,5.0,2.0
2020-04-19,5.0,2.0,4.0,0.0,4.0
2020-04-20,21.0,4.0,18.0,8.0,20.0
2020-04-21,11.0,3.0,15.0,9.0,14.0
2020-04-22,29.0,4.0,16.0,1.0,13.0
2020-04-23,23.0,6.0,21.0,26.0,21.0
2020-04-24,15.0,6.0,14.0,2.0,13.0
2020-04-25,28.0,5.0,6.0,1.0,6.0
2020-04-26,12.0,3.0,0.0,1.0,0.0
2020-04-27,28.0,8.0,7.0,4.0,6.0
2020-04-28,23.0,2.0,14.0,5.0,11.0
2020-04-29,36.0,10.0,13.0,13.0,10.0
2020-04-30,29.0,7.0,16.0,7.0,12.0
2020-05-01,17.0,5.0,9.0,4.0,10.0
2020-05-02,12.0,2.0,2.0,0.0,2.0
2020-05-03,5.0,1.0,3.0,0.0,2.0
2020-05-04,11.0,4.0,12.0,3.0,12.0
2020-05-05,17.0,6.0,13.0,2.0,11.0
2020-05-06,19.0,3.0,4.0,0.0,3.0
