date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2019-08-25,0.0,1.0,0.0,0.0,0.0
2019-08-26,1.0,2.0,4.0,6.0,1.0
2019-08-27,0.0,3.0,0.0,0.0,0.0
2019-08-28,0.0,1.0,2.0,2.0,2.0
2019-08-29,2.0,0.0,2.0,3.0,2.0
2019-08-30,1.0,1.0,3.0,1.0,1.0
2019-08-31,0.0,2.0,0.0,2.0,0.0
2019-09-01,0.0,0.0,0.0,0.0,0.0
2019-09-02,0.0,0.0,0.0,0.0,0.0
2019-09-03,0.0,4.0,1.0,0.0,0.0
2019-09-04,2.0,0.0,2.0,5.0,3.0
2019-09-05,5.0,3.0,0.0,7.0,0.0
2019-09-06,2.0,0.0,2.0,2.0,0.0
2019-09-07,1.0,0.0,1.0,11.0,1.0
2019-09-08,0.0,0.0,0.0,0.0,1.0
2019-09-09,4.0,2.0,3.0,10.0,5.0
2019-09-10,15.0,16.0,7.0,4.0,2.0
2019-09-11,4.0,2.0,4.0,13.0,2.0
2019-09-12,3.0,0.0,1.0,0.0,0.0
2019-09-13,9.0,1.0,6.0,27.0,9.0
2019-09-14,0.0,0.0,0.0,1.0,1.0
2019-09-15,0.0,0.0,0.0,0.0,0.0
2019-09-16,8.0,6.0,3.0,3.0,1.0
2019-09-17,18.0,7.0,3.0,17.0,7.0
2019-09-18,12.0,5.0,8.0,14.0,6.0
2019-09-19,8.0,5.0,3.0,25.0,4.0
2019-09-20,5.0,7.0,3.0,20.0,1.0
2019-09-21,2.0,6.0,0.0,0.0,0.0
2019-09-22,2.0,3.0,0.0,0.0,0.0
2019-09-23,8.0,6.0,4.0,12.0,3.0
2019-09-24,5.0,2.0,3.0,57.0,9.0
2019-09-25,1.0,1.0,4.0,18.0,1.0
2019-09-26,2.0,0.0,7.0,32.0,4.0
2019-09-27,7.0,1.0,4.0,4.0,6.0
2019-09-28,16.0,6.0,2.0,9.0,2.0
2019-09-29,3.0,0.0,3.0,5.0,4.0
2019-09-30,7.0,1.0,3.0,6.0,2.0
2019-10-01,15.0,7.0,4.0,2.0,3.0
2019-10-02,23.0,14.0,5.0,5.0,0.0
2019-10-03,23.0,10.0,6.0,14.0,3.0
2019-10-04,26.0,10.0,5.0,50.0,7.0
2019-10-05,16.0,4.0,3.0,5.0,1.0
2019-10-06,19.0,5.0,1.0,0.0,0.0
2019-10-07,22.0,17.0,0.0,7.0,1.0
2019-10-08,35.0,17.0,5.0,25.0,7.0
2019-10-09,19.0,13.0,4.0,0.0,5.0
2019-10-10,17.0,17.0,2.0,6.0,2.0
2019-10-11,41.0,7.0,4.0,3.0,1.0
2019-10-12,13.0,5.0,2.0,3.0,1.0
2019-10-13,12.0,3.0,3.0,4.0,5.0
2019-10-14,27.0,14.0,2.0,1.0,2.0
2019-10-15,25.0,7.0,4.0,8.0,2.0
2019-10-16,29.0,10.0,5.0,57.0,4.0
2019-10-17,39.0,10.0,3.0,25.0,4.0
2019-10-18,22.0,6.0,2.0,5.0,1.0
2019-10-19,12.0,6.0,2.0,9.0,2.0
2019-10-20,11.0,8.0,1.0,0.0,1.0
2019-10-21,16.0,8.0,7.0,5.0,3.0
2019-10-22,27.0,8.0,5.0,13.0,4.0
2019-10-23,18.0,9.0,2.0,8.0,3.0
2019-10-24,34.0,10.0,5.0,22.0,1.0
2019-10-25,31.0,7.0,1.0,9.0,2.0
2019-10-26,13.0,0.0,0.0,1.0,0.0
2019-10-27,3.0,0.0,0.0,5.0,0.0
2019-10-28,6.0,8.0,2.0,9.0,1.0
2019-10-29,7.0,5.0,1.0,27.0,2.0
2019-10-30,23.0,13.0,4.0,5.0,1.0
2019-10-31,14.0,8.0,3.0,3.0,1.0
2019-11-01,22.0,7.0,6.0,6.0,2.0
2019-11-02,3.0,4.0,3.0,0.0,0.0
2019-11-03,5.0,4.0,0.0,0.0,0.0
2019-11-04,18.0,4.0,3.0,14.0,1.0
2019-11-05,8.0,6.0,1.0,0.0,0.0
2019-11-06,27.0,6.0,5.0,13.0,6.0
2019-11-07,14.0,5.0,1.0,5.0,4.0
2019-11-08,22.0,11.0,1.0,15.0,2.0
2019-11-09,9.0,6.0,0.0,0.0,1.0
2019-11-10,4.0,2.0,0.0,0.0,1.0
2019-11-11,17.0,2.0,4.0,4.0,3.0
2019-11-12,12.0,1.0,4.0,10.0,2.0
2019-11-13,9.0,6.0,4.0,3.0,0.0
2019-11-14,10.0,2.0,4.0,62.0,3.0
2019-11-15,19.0,4.0,6.0,5.0,1.0
2019-11-16,0.0,0.0,1.0,0.0,0.0
2019-11-17,0.0,1.0,0.0,0.0,0.0
2019-11-18,9.0,3.0,2.0,16.0,7.0
2019-11-19,11.0,2.0,2.0,14.0,6.0
2019-11-20,14.0,6.0,6.0,1.0,5.0
2019-11-21,19.0,8.0,3.0,16.0,1.0
2019-11-22,5.0,1.0,1.0,0.0,1.0
2019-11-23,1.0,0.0,0.0,0.0,0.0
