date,ReviewComment
2015-01-01,36.0
2015-01-02,82.0
2015-01-03,76.0
2015-01-04,61.0
2015-01-05,52.0
2015-01-06,125.0
2015-01-07,92.0
2015-01-08,103.0
2015-01-09,60.0
2015-01-10,28.0
2015-01-11,90.0
2015-01-12,76.0
2015-01-13,70.0
2015-01-14,41.0
2015-01-15,32.0
2015-01-16,84.0
2015-01-17,31.0
2015-01-18,66.0
2015-01-19,42.0
2015-01-20,41.0
2015-01-21,17.0
2015-01-22,56.0
2015-01-23,10.0
2015-01-24,32.0
2015-01-25,49.0
2015-01-26,40.0
2015-01-27,56.0
2015-01-28,45.0
2015-01-29,38.0
2015-01-30,38.0
2015-01-31,22.0
2015-02-01,25.0
2015-02-02,35.0
2015-02-03,38.0
2015-02-04,19.0
2015-02-05,19.0
2015-02-06,29.0
2015-02-07,47.0
2015-02-08,128.0
2015-02-09,56.0
2015-02-10,34.0
2015-02-11,57.0
2015-02-12,127.0
2015-02-13,94.0
2015-02-14,22.0
2015-02-15,16.0
2015-02-16,17.0
2015-02-17,45.0
2015-02-18,45.0
2015-02-19,24.0
2015-02-20,44.0
2015-02-21,73.0
2015-02-22,25.0
2015-02-23,48.0
2015-02-24,16.0
2015-02-25,67.0
2015-02-26,43.0
2015-02-27,37.0
2015-02-28,8.0
2015-03-01,9.0
2015-03-02,31.0
2015-03-03,72.0
2015-03-04,11.0
2015-03-05,53.0
2015-03-06,4.0
2015-03-07,33.0
2015-03-08,27.0
2015-03-09,24.0
2015-03-10,23.0
2015-03-11,17.0
2015-03-12,51.0
2015-03-13,66.0
2015-03-14,41.0
2015-03-15,62.0
2015-03-16,28.0
2015-03-17,34.0
2015-03-18,25.0
2015-03-19,39.0
2015-03-20,50.0
2015-03-21,37.0
2015-03-22,21.0
2015-03-23,81.0
2015-03-24,45.0
2015-03-25,73.0
2015-03-26,34.0
2015-03-27,41.0
2015-03-28,11.0
2015-03-29,12.0
2015-03-30,69.0
2015-03-31,33.0
2015-04-01,65.0
2015-04-02,35.0
2015-04-03,27.0
2015-04-04,13.0
2015-04-05,21.0
2015-04-06,44.0
2015-04-07,36.0
2015-04-08,44.0
2015-04-09,24.0
2015-04-10,14.0
2015-04-11,34.0
2015-04-12,9.0
2015-04-13,36.0
2015-04-14,20.0
2015-04-15,52.0
2015-04-16,28.0
2015-04-17,27.0
2015-04-18,19.0
2015-04-19,74.0
2015-04-20,27.0
2015-04-21,34.0
2015-04-22,43.0
2015-04-23,20.0
2015-04-24,51.0
2015-04-25,41.0
2015-04-26,57.0
2015-04-27,46.0
2015-04-28,27.0
2015-04-29,81.0
2015-04-30,69.0
2015-05-01,20.0
2015-05-02,55.0
2015-05-03,55.0
2015-05-04,23.0
2015-05-05,65.0
2015-05-06,40.0
2015-05-07,22.0
2015-05-08,30.0
2015-05-09,30.0
2015-05-10,15.0
2015-05-11,24.0
2015-05-12,19.0
2015-05-13,54.0
2015-05-14,26.0
2015-05-15,62.0
2015-05-16,21.0
2015-05-17,46.0
2015-05-18,38.0
2015-05-19,8.0
2015-05-20,52.0
2015-05-21,12.0
2015-05-22,51.0
2015-05-23,28.0
2015-05-24,30.0
2015-05-25,22.0
2015-05-26,46.0
2015-05-27,67.0
2015-05-28,48.0
2015-05-29,46.0
2015-05-30,23.0
2015-05-31,44.0
2015-06-01,24.0
2015-06-02,60.0
2015-06-03,49.0
2015-06-04,31.0
2015-06-05,55.0
2015-06-06,11.0
2015-06-07,26.0
2015-06-08,31.0
2015-06-09,89.0
2015-06-10,39.0
2015-06-11,34.0
2015-06-12,49.0
2015-06-13,12.0
2015-06-14,58.0
2015-06-15,99.0
2015-06-16,36.0
2015-06-17,37.0
2015-06-18,23.0
2015-06-19,51.0
2015-06-20,42.0
2015-06-21,12.0
2015-06-22,54.0
2015-06-23,48.0
2015-06-24,61.0
2015-06-25,28.0
2015-06-26,25.0
2015-06-27,9.0
2015-06-28,53.0
2015-06-29,42.0
2015-06-30,33.0
2015-07-01,22.0
2015-07-02,52.0
2015-07-03,44.0
2015-07-04,9.0
2015-07-05,11.0
2015-07-06,34.0
2015-07-07,66.0
2015-07-08,58.0
2015-07-09,55.0
2015-07-10,59.0
2015-07-11,13.0
2015-07-12,35.0
2015-07-13,8.0
2015-07-14,9.0
2015-07-15,18.0
2015-07-16,21.0
2015-07-17,27.0
2015-07-18,33.0
2015-07-19,52.0
2015-07-20,49.0
2015-07-21,26.0
2015-07-22,40.0
2015-07-23,51.0
2015-07-24,21.0
2015-07-25,12.0
2015-07-26,28.0
2015-07-27,13.0
2015-07-28,33.0
2015-07-29,72.0
2015-07-30,29.0
2015-07-31,113.0
2015-08-01,74.0
2015-08-02,33.0
2015-08-03,69.0
2015-08-04,43.0
2015-08-05,36.0
2015-08-06,110.0
2015-08-07,23.0
2015-08-08,58.0
2015-08-09,25.0
2015-08-10,41.0
2015-08-11,60.0
2015-08-12,70.0
2015-08-13,36.0
2015-08-14,72.0
2015-08-15,49.0
2015-08-16,45.0
2015-08-17,45.0
2015-08-18,40.0
2015-08-19,19.0
2015-08-20,54.0
2015-08-21,24.0
2015-08-22,2.0
2015-08-23,26.0
2015-08-24,29.0
2015-08-25,44.0
2015-08-26,57.0
2015-08-27,28.0
2015-08-28,20.0
2015-08-29,13.0
2015-08-30,15.0
2015-08-31,10.0
2015-09-01,9.0
2015-09-02,15.0
2015-09-03,25.0
2015-09-04,34.0
2015-09-05,17.0
2015-09-06,31.0
2015-09-07,54.0
2015-09-08,51.0
2015-09-09,66.0
2015-09-10,20.0
2015-09-11,19.0
2015-09-12,26.0
2015-09-13,7.0
2015-09-14,15.0
2015-09-15,41.0
2015-09-16,2.0
2015-09-17,85.0
2015-09-18,30.0
2015-09-19,11.0
2015-09-20,41.0
2015-09-21,14.0
2015-09-22,21.0
2015-09-23,55.0
2015-09-24,21.0
2015-09-25,29.0
2015-09-26,13.0
2015-09-27,48.0
2015-09-28,29.0
2015-09-29,49.0
2015-09-30,29.0
2015-10-01,14.0
2015-10-02,8.0
2015-10-03,32.0
2015-10-04,20.0
2015-10-05,25.0
2015-10-06,39.0
2015-10-07,28.0
2015-10-08,31.0
2015-10-09,23.0
2015-10-10,8.0
2015-10-11,16.0
2015-10-12,63.0
2015-10-13,56.0
2015-10-14,50.0
2015-10-15,78.0
2015-10-16,80.0
2015-10-17,10.0
2015-10-18,23.0
2015-10-19,48.0
2015-10-20,41.0
2015-10-21,36.0
2015-10-22,38.0
2015-10-23,22.0
2015-10-24,17.0
2015-10-25,27.0
2015-10-26,30.0
2015-10-27,37.0
2015-10-28,16.0
2015-10-29,24.0
2015-10-30,32.0
2015-10-31,46.0
2015-11-01,39.0
2015-11-02,19.0
2015-11-03,48.0
2015-11-04,63.0
2015-11-05,18.0
2015-11-06,26.0
2015-11-07,26.0
2015-11-08,72.0
2015-11-09,39.0
2015-11-10,48.0
2015-11-11,40.0
2015-11-12,15.0
2015-11-13,44.0
2015-11-14,1.0
2015-11-15,38.0
2015-11-16,41.0
2015-11-17,54.0
2015-11-18,24.0
2015-11-19,23.0
2015-11-20,25.0
2015-11-21,33.0
2015-11-22,22.0
2015-11-23,8.0
2015-11-24,78.0
2015-11-25,28.0
2015-11-26,38.0
2015-11-27,50.0
2015-11-28,23.0
2015-11-29,7.0
2015-11-30,17.0
2015-12-01,13.0
2015-12-02,25.0
2015-12-03,66.0
2015-12-04,166.0
2015-12-05,74.0
2015-12-06,142.0
2015-12-07,95.0
2015-12-08,64.0
2015-12-09,70.0
2015-12-10,42.0
2015-12-11,53.0
2015-12-12,19.0
2015-12-13,11.0
2015-12-14,26.0
2015-12-15,93.0
2015-12-16,43.0
2015-12-17,17.0
2015-12-18,67.0
