date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2022-07-19,16.0,5.0,8.0,7.0,9.0
2022-07-20,69.0,17.0,15.0,26.0,10.0
2022-07-21,69.0,22.0,12.0,3.0,5.0
2022-07-22,128.0,13.0,15.0,20.0,10.0
2022-07-23,94.0,19.0,17.0,25.0,5.0
2022-07-24,71.0,17.0,13.0,36.0,10.0
2022-07-25,98.0,15.0,15.0,19.0,3.0
2022-07-26,75.0,10.0,10.0,40.0,5.0
2022-07-27,56.0,7.0,8.0,25.0,8.0
2022-07-28,71.0,8.0,12.0,62.0,8.0
2022-07-29,65.0,7.0,6.0,20.0,6.0
2022-07-30,78.0,9.0,7.0,42.0,8.0
2022-07-31,21.0,4.0,4.0,8.0,3.0
2022-08-01,47.0,5.0,9.0,14.0,3.0
2022-08-02,21.0,1.0,7.0,24.0,3.0
2022-08-03,22.0,10.0,9.0,26.0,7.0
2022-08-04,36.0,3.0,11.0,27.0,4.0
2022-08-05,17.0,4.0,4.0,17.0,3.0
2022-08-06,9.0,5.0,5.0,16.0,2.0
2022-08-07,15.0,3.0,2.0,8.0,0.0
2022-08-08,30.0,3.0,6.0,40.0,3.0
2022-08-09,28.0,0.0,6.0,22.0,6.0
2022-08-10,26.0,5.0,5.0,13.0,0.0
2022-08-11,40.0,13.0,1.0,20.0,3.0
2022-08-12,32.0,3.0,10.0,30.0,6.0
2022-08-13,21.0,0.0,5.0,13.0,0.0
2022-08-14,1.0,1.0,1.0,1.0,0.0
2022-08-15,21.0,3.0,5.0,37.0,8.0
2022-08-16,36.0,3.0,5.0,55.0,2.0
2022-08-17,17.0,3.0,2.0,9.0,3.0
2022-08-18,5.0,0.0,2.0,33.0,0.0
2022-08-19,13.0,2.0,2.0,5.0,2.0
2022-08-20,6.0,2.0,5.0,3.0,0.0
2022-08-21,7.0,5.0,0.0,0.0,0.0
2022-08-22,7.0,2.0,5.0,5.0,0.0
2022-08-23,6.0,0.0,0.0,18.0,5.0
2022-08-24,17.0,2.0,3.0,22.0,1.0
2022-08-25,27.0,4.0,7.0,23.0,6.0
2022-08-26,15.0,0.0,4.0,14.0,2.0
2022-08-27,6.0,2.0,1.0,3.0,0.0
2022-08-28,4.0,0.0,0.0,0.0,0.0
2022-08-29,7.0,0.0,0.0,5.0,1.0
2022-08-30,3.0,1.0,1.0,3.0,2.0
2022-08-31,4.0,2.0,0.0,4.0,0.0
2022-09-01,4.0,3.0,4.0,27.0,2.0
2022-09-02,7.0,0.0,1.0,15.0,1.0
2022-09-03,3.0,0.0,0.0,6.0,1.0
2022-09-04,2.0,0.0,2.0,0.0,0.0
2022-09-05,2.0,0.0,2.0,12.0,0.0
2022-09-06,9.0,1.0,1.0,11.0,1.0
2022-09-07,12.0,2.0,0.0,19.0,3.0
2022-09-08,21.0,1.0,3.0,29.0,4.0
2022-09-09,12.0,1.0,1.0,26.0,8.0
2022-09-10,8.0,1.0,1.0,2.0,1.0
2022-09-11,3.0,0.0,1.0,1.0,0.0
2022-09-12,14.0,1.0,4.0,22.0,2.0
2022-09-13,5.0,0.0,7.0,20.0,6.0
2022-09-14,20.0,0.0,6.0,25.0,2.0
2022-09-15,8.0,0.0,4.0,34.0,6.0
2022-09-16,3.0,1.0,2.0,13.0,1.0
2022-09-17,2.0,0.0,0.0,1.0,0.0
2022-09-18,2.0,0.0,1.0,0.0,0.0
