date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,2.0,0.0,0.0,0.0,0.0
2021-01-02,5.0,1.0,2.0,0.0,0.0
2021-01-03,14.0,0.0,0.0,0.0,0.0
2021-01-04,7.0,2.0,1.0,0.0,0.0
2021-01-05,19.0,1.0,1.0,2.0,0.0
2021-01-06,11.0,1.0,0.0,0.0,0.0
2021-01-07,19.0,2.0,2.0,2.0,1.0
2021-01-08,6.0,0.0,1.0,0.0,0.0
2021-01-09,11.0,0.0,2.0,0.0,0.0
2021-01-10,6.0,0.0,1.0,0.0,0.0
2021-01-11,10.0,2.0,1.0,0.0,0.0
2021-01-12,17.0,1.0,1.0,6.0,3.0
2021-01-13,14.0,2.0,3.0,2.0,0.0
2021-01-14,20.0,3.0,2.0,1.0,3.0
2021-01-15,21.0,1.0,1.0,2.0,4.0
2021-01-16,4.0,0.0,0.0,3.0,3.0
2021-01-17,4.0,0.0,0.0,16.0,0.0
2021-01-18,15.0,2.0,1.0,8.0,0.0
2021-01-19,27.0,2.0,3.0,8.0,4.0
2021-01-20,7.0,0.0,2.0,11.0,0.0
2021-01-21,12.0,2.0,4.0,7.0,4.0
2021-01-22,4.0,2.0,0.0,0.0,0.0
2021-01-23,3.0,1.0,1.0,2.0,1.0
2021-01-24,1.0,0.0,0.0,0.0,0.0
2021-01-25,10.0,1.0,0.0,5.0,2.0
2021-01-26,6.0,0.0,1.0,5.0,0.0
2021-01-27,7.0,1.0,0.0,0.0,1.0
2021-01-28,1.0,1.0,0.0,1.0,0.0
2021-01-29,10.0,1.0,0.0,0.0,0.0
2021-01-30,8.0,1.0,1.0,6.0,1.0
2021-01-31,11.0,0.0,0.0,7.0,8.0
2021-02-01,14.0,3.0,3.0,8.0,4.0
2021-02-02,19.0,1.0,1.0,21.0,2.0
2021-02-03,15.0,1.0,2.0,9.0,3.0
2021-02-04,14.0,2.0,2.0,10.0,1.0
2021-02-05,8.0,0.0,2.0,9.0,0.0
2021-02-06,0.0,0.0,0.0,0.0,0.0
2021-02-07,2.0,0.0,1.0,2.0,0.0
2021-02-08,9.0,2.0,2.0,4.0,1.0
2021-02-09,32.0,4.0,2.0,4.0,3.0
2021-02-10,14.0,1.0,1.0,7.0,2.0
2021-02-11,28.0,2.0,4.0,3.0,5.0
2021-02-12,6.0,1.0,0.0,0.0,0.0
2021-02-13,3.0,0.0,0.0,0.0,0.0
2021-02-14,6.0,0.0,0.0,0.0,0.0
2021-02-15,7.0,0.0,0.0,0.0,1.0
2021-02-16,11.0,1.0,2.0,0.0,3.0
2021-02-17,13.0,1.0,3.0,16.0,2.0
2021-02-18,4.0,1.0,1.0,1.0,0.0
2021-02-19,9.0,1.0,2.0,11.0,2.0
2021-02-20,9.0,2.0,1.0,2.0,1.0
2021-02-21,4.0,0.0,1.0,0.0,0.0
2021-02-22,10.0,0.0,3.0,8.0,2.0
2021-02-23,17.0,1.0,0.0,7.0,2.0
2021-02-24,11.0,5.0,4.0,0.0,4.0
2021-02-25,26.0,4.0,7.0,4.0,3.0
2021-02-26,5.0,2.0,0.0,0.0,4.0
2021-02-27,1.0,1.0,1.0,0.0,0.0
2021-02-28,13.0,0.0,1.0,1.0,0.0
2021-03-01,4.0,0.0,2.0,1.0,1.0
2021-03-02,6.0,1.0,1.0,0.0,2.0
2021-03-03,10.0,0.0,2.0,3.0,2.0
2021-03-04,14.0,2.0,5.0,0.0,4.0
2021-03-05,5.0,0.0,5.0,0.0,0.0
2021-03-06,5.0,0.0,0.0,6.0,0.0
2021-03-07,10.0,0.0,0.0,1.0,3.0
2021-03-08,13.0,1.0,0.0,1.0,0.0
2021-03-09,12.0,1.0,2.0,4.0,1.0
2021-03-10,2.0,0.0,1.0,8.0,4.0
2021-03-11,16.0,3.0,5.0,6.0,3.0
2021-03-12,5.0,0.0,4.0,0.0,2.0
2021-03-13,1.0,0.0,1.0,0.0,0.0
2021-03-14,1.0,0.0,2.0,2.0,2.0
2021-03-15,7.0,3.0,0.0,0.0,0.0
2021-03-16,8.0,1.0,3.0,9.0,0.0
2021-03-17,19.0,2.0,1.0,0.0,1.0
2021-03-18,5.0,1.0,2.0,1.0,2.0
2021-03-19,4.0,1.0,0.0,0.0,1.0
2021-03-20,7.0,0.0,1.0,0.0,0.0
2021-03-21,5.0,0.0,0.0,0.0,0.0
2021-03-22,13.0,2.0,1.0,3.0,0.0
2021-03-23,12.0,1.0,4.0,2.0,4.0
2021-03-24,17.0,2.0,1.0,11.0,2.0
2021-03-25,5.0,0.0,0.0,2.0,1.0
2021-03-26,4.0,0.0,4.0,0.0,0.0
2021-03-27,1.0,1.0,1.0,0.0,1.0
2021-03-28,3.0,1.0,4.0,1.0,5.0
2021-03-29,17.0,2.0,3.0,0.0,1.0
2021-03-30,3.0,2.0,0.0,0.0,4.0
2021-03-31,6.0,0.0,0.0,0.0,0.0
2021-04-01,3.0,2.0,1.0,0.0,1.0
2021-04-02,9.0,1.0,1.0,0.0,1.0
2021-04-03,5.0,0.0,0.0,1.0,0.0
2021-04-04,5.0,0.0,1.0,0.0,0.0
2021-04-05,6.0,0.0,2.0,0.0,0.0
2021-04-06,11.0,3.0,3.0,2.0,1.0
2021-04-07,28.0,3.0,1.0,9.0,3.0
2021-04-08,11.0,3.0,0.0,4.0,2.0
2021-04-09,15.0,6.0,2.0,10.0,1.0
2021-04-10,3.0,0.0,0.0,0.0,0.0
2021-04-11,1.0,1.0,0.0,0.0,0.0
2021-04-12,5.0,2.0,2.0,1.0,0.0
2021-04-13,11.0,1.0,2.0,17.0,2.0
2021-04-14,16.0,1.0,1.0,0.0,0.0
2021-04-15,13.0,0.0,3.0,24.0,2.0
2021-04-16,21.0,4.0,4.0,5.0,2.0
2021-04-17,6.0,0.0,2.0,0.0,1.0
2021-04-18,2.0,0.0,0.0,0.0,1.0
2021-04-19,25.0,2.0,2.0,2.0,4.0
2021-04-20,10.0,2.0,2.0,3.0,1.0
2021-04-21,3.0,0.0,1.0,0.0,4.0
2021-04-22,13.0,3.0,2.0,1.0,2.0
2021-04-23,20.0,0.0,3.0,1.0,1.0
2021-04-24,11.0,0.0,0.0,0.0,0.0
2021-04-25,8.0,2.0,2.0,0.0,0.0
2021-04-26,13.0,0.0,3.0,5.0,1.0
2021-04-27,26.0,2.0,1.0,13.0,1.0
2021-04-28,8.0,1.0,4.0,5.0,3.0
2021-04-29,17.0,1.0,3.0,18.0,5.0
2021-04-30,6.0,3.0,1.0,2.0,0.0
