date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,3.0,0.0,25.0,0.0,55.0
2021-01-02,5.0,1.0,39.0,4.0,25.0
2021-01-03,20.0,0.0,24.0,0.0,9.0
2021-01-04,18.0,3.0,21.0,5.0,9.0
2021-01-05,12.0,2.0,21.0,5.0,6.0
2021-01-06,73.0,1.0,56.0,3.0,73.0
2021-01-07,42.0,1.0,100.0,3.0,92.0
2021-01-08,75.0,2.0,89.0,3.0,117.0
2021-01-09,15.0,1.0,96.0,7.0,100.0
2021-01-10,18.0,0.0,225.0,2.0,200.0
2021-01-11,18.0,1.0,83.0,4.0,96.0
2021-01-12,32.0,1.0,112.0,2.0,93.0
2021-01-13,25.0,1.0,28.0,6.0,29.0
2021-01-14,24.0,4.0,45.0,12.0,36.0
2021-01-15,13.0,2.0,18.0,8.0,17.0
2021-01-16,12.0,0.0,29.0,10.0,26.0
2021-01-17,14.0,1.0,46.0,2.0,46.0
2021-01-18,3.0,0.0,44.0,0.0,30.0
2021-01-19,39.0,3.0,98.0,4.0,90.0
2021-01-20,21.0,2.0,56.0,3.0,57.0
2021-01-21,10.0,2.0,31.0,4.0,25.0
2021-01-22,44.0,2.0,41.0,8.0,40.0
2021-01-23,11.0,0.0,50.0,0.0,54.0
2021-01-24,11.0,1.0,55.0,1.0,48.0
2021-01-25,17.0,1.0,64.0,1.0,54.0
2021-01-26,15.0,1.0,61.0,3.0,41.0
2021-01-27,22.0,1.0,54.0,0.0,67.0
2021-01-28,39.0,3.0,175.0,2.0,177.0
2021-01-29,7.0,3.0,78.0,0.0,70.0
2021-01-30,10.0,2.0,39.0,4.0,26.0
2021-01-31,34.0,1.0,31.0,3.0,43.0
2021-02-01,25.0,4.0,31.0,2.0,33.0
2021-02-02,14.0,3.0,52.0,0.0,42.0
2021-02-03,20.0,3.0,46.0,4.0,39.0
2021-02-04,8.0,3.0,80.0,0.0,58.0
2021-02-05,20.0,0.0,38.0,1.0,37.0
2021-02-06,14.0,1.0,40.0,3.0,30.0
2021-02-07,22.0,1.0,31.0,13.0,34.0
2021-02-08,25.0,5.0,43.0,6.0,35.0
2021-02-09,13.0,1.0,28.0,3.0,28.0
2021-02-10,26.0,1.0,43.0,1.0,37.0
2021-02-11,20.0,2.0,24.0,0.0,22.0
2021-02-12,18.0,0.0,93.0,4.0,87.0
2021-02-13,18.0,1.0,15.0,0.0,23.0
2021-02-14,9.0,1.0,24.0,1.0,19.0
2021-02-15,7.0,0.0,23.0,0.0,14.0
2021-02-16,22.0,1.0,27.0,2.0,30.0
2021-02-17,14.0,1.0,64.0,3.0,45.0
2021-02-18,44.0,1.0,61.0,0.0,66.0
2021-02-19,19.0,1.0,27.0,2.0,33.0
2021-02-20,2.0,1.0,16.0,0.0,14.0
2021-02-21,19.0,3.0,96.0,0.0,77.0
2021-02-22,29.0,2.0,33.0,15.0,30.0
2021-02-23,19.0,0.0,46.0,12.0,41.0
2021-02-24,12.0,2.0,31.0,0.0,24.0
2021-02-25,4.0,1.0,34.0,0.0,19.0
2021-02-26,14.0,0.0,37.0,0.0,29.0
2021-02-27,20.0,2.0,34.0,17.0,10.0
2021-02-28,7.0,0.0,24.0,4.0,36.0
2021-03-01,15.0,1.0,31.0,2.0,42.0
2021-03-02,26.0,0.0,33.0,2.0,39.0
2021-03-03,33.0,5.0,118.0,0.0,108.0
2021-03-04,53.0,4.0,55.0,24.0,69.0
2021-03-05,15.0,1.0,43.0,2.0,33.0
2021-03-06,18.0,1.0,43.0,0.0,36.0
2021-03-07,11.0,0.0,104.0,0.0,92.0
2021-03-08,25.0,4.0,23.0,2.0,33.0
2021-03-09,12.0,1.0,22.0,2.0,17.0
2021-03-10,7.0,1.0,32.0,1.0,25.0
2021-03-11,9.0,1.0,29.0,2.0,23.0
2021-03-12,7.0,0.0,37.0,1.0,32.0
2021-03-13,11.0,1.0,24.0,0.0,19.0
2021-03-14,6.0,0.0,27.0,0.0,21.0
2021-03-15,19.0,3.0,94.0,0.0,79.0
2021-03-16,46.0,2.0,47.0,11.0,53.0
2021-03-17,22.0,1.0,54.0,1.0,39.0
2021-03-18,29.0,1.0,53.0,0.0,52.0
2021-03-19,27.0,1.0,40.0,0.0,34.0
2021-03-20,9.0,1.0,152.0,0.0,132.0
2021-03-21,7.0,1.0,790.0,2.0,783.0
2021-03-22,12.0,1.0,69.0,5.0,67.0
2021-03-23,21.0,1.0,64.0,3.0,94.0
2021-03-24,19.0,1.0,64.0,0.0,52.0
2021-03-25,33.0,5.0,43.0,0.0,44.0
2021-03-26,6.0,2.0,133.0,2.0,88.0
2021-03-27,15.0,0.0,25.0,8.0,41.0
2021-03-28,13.0,2.0,21.0,9.0,18.0
2021-03-29,11.0,0.0,33.0,1.0,24.0
2021-03-30,12.0,3.0,77.0,0.0,75.0
2021-03-31,32.0,1.0,26.0,2.0,55.0
2021-04-01,34.0,0.0,43.0,0.0,42.0
2021-04-02,9.0,0.0,23.0,2.0,23.0
2021-04-03,2.0,0.0,18.0,0.0,16.0
2021-04-04,0.0,0.0,13.0,0.0,8.0
2021-04-05,9.0,0.0,118.0,1.0,90.0
2021-04-06,54.0,3.0,125.0,0.0,112.0
2021-04-07,17.0,3.0,74.0,0.0,81.0
2021-04-08,16.0,0.0,35.0,0.0,32.0
2021-04-09,6.0,1.0,81.0,0.0,58.0
2021-04-10,15.0,1.0,168.0,1.0,167.0
2021-04-11,1.0,1.0,16.0,0.0,22.0
2021-04-12,19.0,4.0,61.0,1.0,62.0
2021-04-13,30.0,1.0,107.0,0.0,76.0
2021-04-14,13.0,1.0,147.0,3.0,100.0
2021-04-15,16.0,1.0,70.0,2.0,109.0
2021-04-16,20.0,1.0,39.0,1.0,50.0
2021-04-17,28.0,1.0,71.0,1.0,17.0
2021-04-18,17.0,2.0,25.0,2.0,67.0
2021-04-19,16.0,1.0,150.0,2.0,97.0
2021-04-20,17.0,1.0,28.0,1.0,72.0
2021-04-21,32.0,0.0,37.0,5.0,23.0
2021-04-22,29.0,0.0,28.0,0.0,42.0
2021-04-23,5.0,0.0,26.0,3.0,24.0
2021-04-24,8.0,0.0,22.0,3.0,18.0
2021-04-25,8.0,0.0,104.0,1.0,20.0
2021-04-26,15.0,2.0,33.0,0.0,114.0
2021-04-27,6.0,0.0,54.0,0.0,47.0
2021-04-28,26.0,1.0,61.0,7.0,29.0
2021-04-29,27.0,1.0,33.0,14.0,43.0
2021-04-30,22.0,2.0,39.0,5.0,14.0
2021-05-01,11.0,0.0,45.0,5.0,54.0
2021-05-02,3.0,2.0,41.0,0.0,10.0
2021-05-03,18.0,2.0,35.0,18.0,60.0
2021-05-04,32.0,0.0,133.0,2.0,162.0
2021-05-05,9.0,0.0,53.0,1.0,50.0
2021-05-06,26.0,1.0,39.0,9.0,42.0
2021-05-07,17.0,0.0,131.0,4.0,116.0
2021-05-08,7.0,0.0,70.0,2.0,67.0
2021-05-09,5.0,1.0,47.0,8.0,48.0
2021-05-10,8.0,1.0,47.0,5.0,39.0
2021-05-11,22.0,4.0,12.0,0.0,29.0
2021-05-12,21.0,2.0,82.0,14.0,73.0
2021-05-13,14.0,0.0,59.0,0.0,62.0
2021-05-14,25.0,1.0,47.0,11.0,43.0
2021-05-15,3.0,0.0,95.0,2.0,46.0
2021-05-16,4.0,0.0,48.0,0.0,78.0
2021-05-17,22.0,3.0,58.0,0.0,51.0
2021-05-18,37.0,0.0,46.0,6.0,49.0
2021-05-19,28.0,1.0,23.0,14.0,34.0
2021-05-20,15.0,0.0,36.0,13.0,25.0
2021-05-21,27.0,0.0,33.0,15.0,33.0
2021-05-22,10.0,1.0,34.0,4.0,23.0
2021-05-23,5.0,0.0,59.0,0.0,56.0
2021-05-24,10.0,0.0,76.0,6.0,78.0
2021-05-25,13.0,1.0,30.0,10.0,24.0
2021-05-26,9.0,0.0,31.0,4.0,26.0
2021-05-27,12.0,0.0,66.0,18.0,65.0
2021-05-28,2.0,0.0,28.0,0.0,25.0
2021-05-29,10.0,2.0,118.0,2.0,105.0
2021-05-30,15.0,0.0,32.0,3.0,36.0
2021-05-31,16.0,1.0,60.0,0.0,52.0
2021-06-01,19.0,0.0,32.0,8.0,30.0
2021-06-02,16.0,1.0,40.0,10.0,36.0
2021-06-03,25.0,3.0,64.0,0.0,57.0
2021-06-04,23.0,2.0,26.0,9.0,16.0
2021-06-05,9.0,2.0,18.0,4.0,33.0
2021-06-06,8.0,1.0,14.0,0.0,12.0
2021-06-07,11.0,0.0,31.0,10.0,24.0
2021-06-08,7.0,3.0,33.0,2.0,38.0
2021-06-09,19.0,1.0,52.0,5.0,50.0
2021-06-10,18.0,3.0,89.0,11.0,87.0
2021-06-11,26.0,2.0,70.0,1.0,70.0
2021-06-12,16.0,1.0,58.0,1.0,31.0
2021-06-13,12.0,1.0,49.0,9.0,58.0
2021-06-14,26.0,4.0,31.0,6.0,30.0
2021-06-15,19.0,0.0,52.0,1.0,32.0
2021-06-16,17.0,2.0,55.0,5.0,61.0
2021-06-17,11.0,2.0,32.0,7.0,30.0
2021-06-18,8.0,1.0,34.0,6.0,33.0
2021-06-19,18.0,1.0,42.0,12.0,35.0
2021-06-20,9.0,0.0,19.0,13.0,19.0
2021-06-21,18.0,0.0,32.0,4.0,20.0
2021-06-22,34.0,3.0,24.0,11.0,32.0
2021-06-23,27.0,2.0,37.0,3.0,33.0
2021-06-24,42.0,0.0,73.0,0.0,70.0
2021-06-25,12.0,0.0,38.0,2.0,42.0
2021-06-26,6.0,0.0,32.0,3.0,41.0
2021-06-27,4.0,0.0,16.0,1.0,12.0
2021-06-28,11.0,0.0,26.0,1.0,28.0
2021-06-29,20.0,1.0,37.0,0.0,35.0
2021-06-30,11.0,0.0,35.0,0.0,34.0
2021-07-01,10.0,1.0,36.0,0.0,33.0
2021-07-02,16.0,2.0,96.0,4.0,90.0
2021-07-03,20.0,2.0,28.0,7.0,29.0
2021-07-04,4.0,0.0,60.0,0.0,60.0
2021-07-05,7.0,4.0,16.0,0.0,15.0
2021-07-06,9.0,1.0,44.0,5.0,33.0
2021-07-07,6.0,0.0,29.0,1.0,24.0
2021-07-08,26.0,0.0,59.0,13.0,46.0
2021-07-09,13.0,0.0,27.0,5.0,49.0
2021-07-10,20.0,2.0,31.0,0.0,27.0
2021-07-11,6.0,1.0,18.0,0.0,18.0
2021-07-12,13.0,1.0,27.0,1.0,21.0
2021-07-13,23.0,3.0,47.0,0.0,16.0
2021-07-14,40.0,0.0,40.0,0.0,60.0
2021-07-15,31.0,2.0,32.0,3.0,30.0
2021-07-16,26.0,1.0,37.0,0.0,26.0
2021-07-17,18.0,0.0,15.0,2.0,24.0
2021-07-18,20.0,2.0,185.0,3.0,165.0
2021-07-19,10.0,0.0,89.0,9.0,108.0
2021-07-20,18.0,0.0,133.0,4.0,117.0
2021-07-21,7.0,0.0,27.0,0.0,18.0
2021-07-22,14.0,0.0,32.0,2.0,48.0
2021-07-23,25.0,1.0,44.0,4.0,39.0
2021-07-24,17.0,0.0,13.0,0.0,16.0
2021-07-25,10.0,0.0,37.0,1.0,24.0
2021-07-26,12.0,0.0,36.0,3.0,27.0
2021-07-27,21.0,0.0,44.0,3.0,54.0
2021-07-28,11.0,0.0,45.0,4.0,50.0
2021-07-29,4.0,1.0,51.0,1.0,50.0
2021-07-30,12.0,0.0,19.0,2.0,21.0
2021-07-31,17.0,1.0,19.0,0.0,16.0
2021-08-01,9.0,0.0,23.0,0.0,21.0
2021-08-02,14.0,1.0,18.0,2.0,13.0
2021-08-03,11.0,1.0,60.0,1.0,24.0
2021-08-04,9.0,2.0,27.0,3.0,57.0
2021-08-05,22.0,0.0,37.0,5.0,39.0
2021-08-06,12.0,0.0,25.0,0.0,22.0
2021-08-07,11.0,0.0,19.0,0.0,18.0
2021-08-08,5.0,0.0,24.0,0.0,25.0
2021-08-09,4.0,0.0,16.0,0.0,11.0
2021-08-10,5.0,0.0,90.0,0.0,89.0
2021-08-11,16.0,0.0,42.0,6.0,46.0
2021-08-12,19.0,0.0,41.0,1.0,43.0
2021-08-13,12.0,1.0,31.0,0.0,30.0
2021-08-14,6.0,0.0,14.0,0.0,10.0
2021-08-15,6.0,0.0,22.0,2.0,22.0
2021-08-16,19.0,0.0,56.0,1.0,55.0
2021-08-17,11.0,0.0,210.0,1.0,208.0
2021-08-18,14.0,1.0,41.0,0.0,42.0
2021-08-19,16.0,1.0,33.0,1.0,33.0
2021-08-20,19.0,1.0,75.0,0.0,65.0
2021-08-21,12.0,0.0,132.0,0.0,134.0
2021-08-22,16.0,1.0,104.0,5.0,102.0
2021-08-23,18.0,1.0,52.0,2.0,53.0
2021-08-24,15.0,0.0,27.0,0.0,27.0
2021-08-25,8.0,0.0,38.0,0.0,31.0
2021-08-26,0.0,0.0,0.0,0.0,0.0
2021-08-27,0.0,0.0,1.0,0.0,0.0
2021-08-28,7.0,0.0,26.0,1.0,30.0
2021-08-29,6.0,1.0,19.0,0.0,18.0
2021-08-30,27.0,1.0,38.0,0.0,36.0
2021-08-31,33.0,1.0,65.0,8.0,51.0
2021-09-01,25.0,2.0,29.0,7.0,30.0
2021-09-02,21.0,1.0,36.0,1.0,42.0
2021-09-03,10.0,0.0,23.0,0.0,18.0
2021-09-04,5.0,0.0,14.0,0.0,7.0
2021-09-05,13.0,0.0,21.0,9.0,22.0
2021-09-06,11.0,0.0,28.0,2.0,27.0
2021-09-07,13.0,1.0,58.0,0.0,53.0
2021-09-08,13.0,2.0,17.0,1.0,17.0
2021-09-09,8.0,2.0,37.0,2.0,37.0
2021-09-10,11.0,0.0,36.0,3.0,32.0
2021-09-11,15.0,0.0,30.0,1.0,15.0
2021-09-12,11.0,0.0,38.0,0.0,49.0
