date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,63.0,0.0,9.0,32.0,7.0
2021-01-02,83.0,2.0,19.0,7.0,17.0
2021-01-03,22.0,1.0,2.0,6.0,2.0
2021-01-04,128.0,5.0,14.0,107.0,14.0
2021-01-05,111.0,11.0,11.0,43.0,12.0
2021-01-06,77.0,7.0,15.0,49.0,3.0
2021-01-07,146.0,10.0,21.0,87.0,17.0
2021-01-08,88.0,5.0,19.0,36.0,20.0
2021-01-09,64.0,2.0,7.0,13.0,9.0
2021-01-10,51.0,1.0,9.0,4.0,5.0
2021-01-11,88.0,7.0,14.0,52.0,13.0
2021-01-12,119.0,9.0,11.0,30.0,10.0
2021-01-13,93.0,5.0,8.0,19.0,8.0
2021-01-14,84.0,10.0,14.0,17.0,15.0
2021-01-15,59.0,11.0,12.0,14.0,9.0
2021-01-16,38.0,3.0,11.0,8.0,12.0
2021-01-17,38.0,0.0,6.0,10.0,4.0
2021-01-18,117.0,13.0,8.0,68.0,11.0
2021-01-19,113.0,10.0,9.0,39.0,9.0
2021-01-20,77.0,6.0,13.0,33.0,5.0
2021-01-21,90.0,8.0,7.0,50.0,8.0
2021-01-22,98.0,8.0,19.0,11.0,13.0
2021-01-23,55.0,3.0,8.0,16.0,5.0
2021-01-24,60.0,1.0,11.0,39.0,9.0
2021-01-25,70.0,3.0,11.0,12.0,12.0
2021-01-26,47.0,8.0,10.0,14.0,7.0
2021-01-27,80.0,4.0,10.0,37.0,7.0
2021-01-28,66.0,4.0,10.0,8.0,10.0
2021-01-29,89.0,8.0,11.0,24.0,12.0
2021-01-30,50.0,3.0,8.0,12.0,8.0
2021-01-31,41.0,0.0,5.0,14.0,4.0
2021-02-01,47.0,5.0,7.0,34.0,8.0
2021-02-02,73.0,4.0,17.0,35.0,7.0
2021-02-03,78.0,6.0,5.0,8.0,12.0
2021-02-04,127.0,8.0,23.0,40.0,18.0
2021-02-05,111.0,7.0,10.0,72.0,12.0
2021-02-06,41.0,3.0,5.0,27.0,4.0
2021-02-07,48.0,0.0,9.0,8.0,7.0
2021-02-08,82.0,5.0,8.0,23.0,10.0
2021-02-09,62.0,5.0,13.0,7.0,11.0
2021-02-10,89.0,11.0,9.0,17.0,12.0
2021-02-11,77.0,6.0,10.0,39.0,5.0
2021-02-12,65.0,5.0,12.0,13.0,6.0
2021-02-13,31.0,1.0,3.0,32.0,3.0
2021-02-14,60.0,2.0,5.0,13.0,2.0
2021-02-15,106.0,7.0,12.0,26.0,11.0
2021-02-16,60.0,7.0,4.0,17.0,4.0
2021-02-17,72.0,13.0,10.0,41.0,8.0
2021-02-18,70.0,13.0,5.0,37.0,4.0
2021-02-19,95.0,6.0,8.0,37.0,8.0
2021-02-20,65.0,6.0,8.0,10.0,5.0
2021-02-21,44.0,2.0,9.0,8.0,7.0
2021-02-22,73.0,7.0,6.0,37.0,6.0
2021-02-23,107.0,15.0,17.0,35.0,11.0
2021-02-24,120.0,9.0,17.0,42.0,9.0
2021-02-25,114.0,6.0,21.0,45.0,18.0
2021-02-26,102.0,6.0,12.0,57.0,17.0
2021-02-27,64.0,8.0,16.0,15.0,15.0
2021-02-28,90.0,5.0,10.0,41.0,8.0
2021-03-01,95.0,4.0,12.0,59.0,13.0
2021-03-02,90.0,8.0,9.0,40.0,9.0
2021-03-03,74.0,11.0,11.0,29.0,11.0
2021-03-04,78.0,6.0,13.0,29.0,9.0
2021-03-05,87.0,7.0,15.0,36.0,18.0
2021-03-06,49.0,2.0,11.0,19.0,4.0
2021-03-07,51.0,0.0,4.0,16.0,6.0
2021-03-08,61.0,10.0,9.0,41.0,4.0
2021-03-09,54.0,5.0,6.0,22.0,8.0
2021-03-10,66.0,1.0,12.0,49.0,7.0
2021-03-11,79.0,7.0,13.0,21.0,11.0
2021-03-12,80.0,1.0,13.0,31.0,15.0
2021-03-13,34.0,6.0,10.0,8.0,9.0
2021-03-14,41.0,8.0,11.0,16.0,9.0
2021-03-15,90.0,14.0,9.0,69.0,12.0
2021-03-16,72.0,9.0,18.0,25.0,9.0
2021-03-17,80.0,12.0,12.0,26.0,4.0
2021-03-18,64.0,7.0,15.0,32.0,13.0
2021-03-19,76.0,6.0,9.0,21.0,3.0
2021-03-20,30.0,0.0,8.0,20.0,11.0
2021-03-21,27.0,3.0,5.0,11.0,2.0
2021-03-22,72.0,6.0,7.0,57.0,9.0
2021-03-23,50.0,9.0,11.0,32.0,9.0
2021-03-24,110.0,8.0,16.0,24.0,10.0
2021-03-25,97.0,12.0,13.0,28.0,8.0
2021-03-26,124.0,6.0,14.0,58.0,10.0
2021-03-27,35.0,0.0,8.0,8.0,4.0
2021-03-28,25.0,2.0,8.0,11.0,4.0
2021-03-29,84.0,5.0,9.0,43.0,11.0
2021-03-30,95.0,6.0,12.0,25.0,12.0
2021-03-31,122.0,5.0,12.0,47.0,13.0
2021-04-01,97.0,8.0,14.0,23.0,9.0
2021-04-02,85.0,6.0,15.0,30.0,11.0
2021-04-03,59.0,3.0,11.0,30.0,9.0
2021-04-04,67.0,3.0,9.0,25.0,8.0
2021-04-05,105.0,6.0,20.0,54.0,12.0
2021-04-06,98.0,5.0,11.0,19.0,19.0
2021-04-07,83.0,10.0,12.0,23.0,11.0
2021-04-08,80.0,10.0,14.0,32.0,10.0
2021-04-09,72.0,5.0,14.0,36.0,10.0
2021-04-10,27.0,1.0,2.0,13.0,3.0
2021-04-11,50.0,3.0,4.0,40.0,4.0
2021-04-12,96.0,4.0,9.0,19.0,11.0
2021-04-13,58.0,8.0,6.0,34.0,2.0
2021-04-14,68.0,10.0,6.0,28.0,7.0
2021-04-15,61.0,2.0,14.0,84.0,5.0
2021-04-16,52.0,6.0,9.0,35.0,10.0
2021-04-17,9.0,2.0,1.0,5.0,1.0
2021-04-18,19.0,1.0,6.0,6.0,1.0
2021-04-19,66.0,5.0,10.0,24.0,7.0
2021-04-20,93.0,7.0,12.0,62.0,9.0
2021-04-21,61.0,4.0,7.0,32.0,5.0
2021-04-22,64.0,10.0,6.0,19.0,8.0
2021-04-23,64.0,4.0,11.0,28.0,7.0
2021-04-24,31.0,0.0,3.0,26.0,3.0
2021-04-25,24.0,0.0,2.0,9.0,2.0
2021-04-26,68.0,11.0,7.0,21.0,7.0
2021-04-27,75.0,4.0,5.0,12.0,8.0
2021-04-28,69.0,8.0,11.0,20.0,2.0
2021-04-29,55.0,6.0,11.0,33.0,10.0
2021-04-30,53.0,5.0,13.0,31.0,10.0
2021-05-01,20.0,1.0,5.0,26.0,6.0
2021-05-02,25.0,2.0,1.0,12.0,3.0
2021-05-03,50.0,3.0,9.0,5.0,2.0
2021-05-04,94.0,9.0,6.0,77.0,15.0
2021-05-05,73.0,7.0,16.0,17.0,9.0
2021-05-06,100.0,4.0,11.0,37.0,11.0
2021-05-07,117.0,4.0,10.0,27.0,11.0
2021-05-08,34.0,2.0,6.0,14.0,3.0
2021-05-09,35.0,3.0,3.0,13.0,9.0
2021-05-10,36.0,7.0,5.0,28.0,4.0
2021-05-11,30.0,4.0,7.0,13.0,5.0
2021-05-12,92.0,12.0,14.0,15.0,4.0
2021-05-13,89.0,4.0,15.0,71.0,15.0
2021-05-14,163.0,3.0,27.0,94.0,22.0
