date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,171.0,10.0,20.0,64.0,30.0
2021-01-02,183.0,15.0,13.0,61.0,7.0
2021-01-03,156.0,12.0,11.0,78.0,4.0
2021-01-04,220.0,11.0,18.0,143.0,29.0
2021-01-05,165.0,19.0,14.0,66.0,16.0
2021-01-06,145.0,18.0,22.0,28.0,15.0
2021-01-07,170.0,21.0,7.0,35.0,4.0
2021-01-08,257.0,11.0,26.0,89.0,24.0
2021-01-09,134.0,8.0,24.0,45.0,10.0
2021-01-10,139.0,10.0,14.0,41.0,12.0
2021-01-11,218.0,15.0,25.0,67.0,18.0
2021-01-12,146.0,13.0,14.0,46.0,5.0
2021-01-13,187.0,26.0,15.0,112.0,23.0
2021-01-14,161.0,11.0,21.0,77.0,13.0
2021-01-15,183.0,13.0,24.0,71.0,15.0
2021-01-16,174.0,21.0,26.0,83.0,23.0
2021-01-17,184.0,14.0,13.0,54.0,12.0
2021-01-18,192.0,20.0,13.0,29.0,11.0
2021-01-19,136.0,18.0,14.0,45.0,8.0
2021-01-20,173.0,9.0,20.0,91.0,15.0
2021-01-21,213.0,10.0,23.0,102.0,21.0
2021-01-22,160.0,15.0,25.0,124.0,20.0
2021-01-23,141.0,13.0,19.0,53.0,14.0
2021-01-24,189.0,11.0,22.0,103.0,7.0
2021-01-25,305.0,15.0,20.0,105.0,13.0
2021-01-26,583.0,9.0,31.0,124.0,39.0
2021-01-27,304.0,15.0,24.0,134.0,37.0
2021-01-28,231.0,13.0,24.0,203.0,31.0
2021-01-29,207.0,15.0,30.0,142.0,33.0
2021-01-30,149.0,15.0,18.0,75.0,13.0
2021-01-31,159.0,13.0,31.0,159.0,17.0
2021-02-01,237.0,10.0,31.0,111.0,20.0
2021-02-02,197.0,8.0,25.0,83.0,27.0
2021-02-03,248.0,28.0,26.0,44.0,17.0
2021-02-04,325.0,48.0,40.0,35.0,28.0
2021-02-05,432.0,32.0,32.0,102.0,24.0
2021-02-06,226.0,26.0,22.0,52.0,13.0
2021-02-07,296.0,27.0,20.0,24.0,4.0
2021-02-08,344.0,27.0,46.0,120.0,57.0
2021-02-09,267.0,31.0,17.0,45.0,15.0
2021-02-10,295.0,27.0,31.0,154.0,35.0
2021-02-11,297.0,25.0,39.0,128.0,27.0
2021-02-12,255.0,23.0,23.0,134.0,20.0
2021-02-13,200.0,18.0,16.0,42.0,17.0
2021-02-14,233.0,15.0,24.0,107.0,23.0
2021-02-15,242.0,22.0,38.0,161.0,19.0
2021-02-16,268.0,20.0,47.0,102.0,17.0
2021-02-17,205.0,14.0,28.0,124.0,19.0
2021-02-18,202.0,13.0,39.0,49.0,48.0
2021-02-19,169.0,8.0,20.0,107.0,14.0
2021-02-20,194.0,15.0,31.0,145.0,45.0
2021-02-21,252.0,19.0,24.0,94.0,9.0
2021-02-22,234.0,11.0,43.0,139.0,37.0
2021-02-23,220.0,16.0,23.0,157.0,34.0
2021-02-24,230.0,17.0,35.0,111.0,37.0
2021-02-25,254.0,18.0,24.0,166.0,22.0
2021-02-26,231.0,28.0,25.0,63.0,21.0
2021-02-27,126.0,15.0,14.0,35.0,5.0
2021-02-28,169.0,25.0,28.0,93.0,17.0
2021-03-01,235.0,15.0,35.0,52.0,33.0
2021-03-02,190.0,17.0,19.0,94.0,29.0
2021-03-03,265.0,20.0,22.0,104.0,14.0
2021-03-04,380.0,59.0,29.0,111.0,19.0
