date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,42.0,10.0,17.0,29.0,15.0
2021-01-02,31.0,14.0,13.0,21.0,9.0
2021-01-03,81.0,7.0,15.0,22.0,15.0
2021-01-04,58.0,9.0,16.0,7.0,14.0
2021-01-05,60.0,9.0,23.0,36.0,27.0
2021-01-06,69.0,7.0,14.0,29.0,11.0
2021-01-07,63.0,8.0,13.0,18.0,14.0
2021-01-08,46.0,7.0,16.0,13.0,13.0
2021-01-09,16.0,3.0,15.0,16.0,11.0
2021-01-10,24.0,10.0,10.0,7.0,18.0
2021-01-11,68.0,13.0,22.0,0.0,7.0
2021-01-12,61.0,8.0,17.0,11.0,8.0
2021-01-13,49.0,8.0,16.0,29.0,24.0
2021-01-14,29.0,5.0,9.0,9.0,9.0
2021-01-15,56.0,12.0,17.0,18.0,13.0
2021-01-16,36.0,5.0,7.0,9.0,1.0
2021-01-17,32.0,9.0,10.0,12.0,15.0
2021-01-18,35.0,5.0,12.0,17.0,11.0
2021-01-19,22.0,5.0,8.0,33.0,11.0
2021-01-20,49.0,14.0,11.0,10.0,6.0
2021-01-21,45.0,8.0,23.0,15.0,22.0
2021-01-22,39.0,9.0,8.0,47.0,14.0
2021-01-23,36.0,9.0,16.0,36.0,19.0
2021-01-24,22.0,9.0,11.0,1.0,11.0
2021-01-25,12.0,3.0,18.0,9.0,9.0
2021-01-26,23.0,3.0,9.0,13.0,9.0
2021-01-27,46.0,11.0,11.0,14.0,11.0
2021-01-28,24.0,6.0,10.0,10.0,10.0
2021-01-29,47.0,9.0,23.0,13.0,18.0
2021-01-30,37.0,5.0,20.0,6.0,25.0
2021-01-31,19.0,11.0,18.0,28.0,11.0
2021-02-01,31.0,4.0,11.0,9.0,17.0
2021-02-02,27.0,3.0,21.0,22.0,12.0
2021-02-03,58.0,3.0,12.0,9.0,16.0
2021-02-04,65.0,8.0,10.0,14.0,11.0
2021-02-05,33.0,11.0,22.0,17.0,14.0
2021-02-06,22.0,7.0,13.0,6.0,10.0
2021-02-07,20.0,6.0,10.0,7.0,14.0
2021-02-08,24.0,4.0,8.0,6.0,11.0
2021-02-09,15.0,6.0,13.0,12.0,8.0
2021-02-10,32.0,2.0,7.0,4.0,4.0
