date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,5.0,2.0,1.0,0.0,0.0
2021-01-02,9.0,3.0,1.0,0.0,0.0
2021-01-03,10.0,1.0,1.0,0.0,0.0
2021-01-04,40.0,0.0,2.0,0.0,4.0
2021-01-05,45.0,0.0,3.0,11.0,1.0
2021-01-06,66.0,2.0,2.0,9.0,1.0
2021-01-07,26.0,3.0,2.0,28.0,2.0
2021-01-08,27.0,2.0,4.0,14.0,3.0
2021-01-09,11.0,1.0,2.0,7.0,0.0
2021-01-10,4.0,0.0,0.0,0.0,0.0
2021-01-11,29.0,0.0,3.0,10.0,4.0
2021-01-12,9.0,0.0,1.0,12.0,1.0
2021-01-13,5.0,2.0,1.0,4.0,2.0
2021-01-14,16.0,2.0,3.0,1.0,3.0
2021-01-15,9.0,0.0,2.0,3.0,2.0
2021-01-16,2.0,1.0,1.0,2.0,0.0
2021-01-17,5.0,3.0,2.0,2.0,0.0
2021-01-18,39.0,3.0,4.0,8.0,2.0
2021-01-19,33.0,1.0,2.0,8.0,4.0
2021-01-20,24.0,0.0,2.0,12.0,1.0
2021-01-21,33.0,3.0,4.0,13.0,4.0
2021-01-22,32.0,2.0,5.0,17.0,5.0
2021-01-23,6.0,2.0,0.0,5.0,0.0
2021-01-24,3.0,1.0,1.0,0.0,0.0
2021-01-25,45.0,2.0,1.0,12.0,5.0
2021-01-26,22.0,1.0,2.0,1.0,1.0
2021-01-27,35.0,3.0,5.0,19.0,4.0
2021-01-28,28.0,1.0,4.0,21.0,2.0
2021-01-29,53.0,4.0,7.0,13.0,6.0
2021-01-30,6.0,2.0,0.0,0.0,0.0
2021-01-31,2.0,1.0,0.0,0.0,0.0
2021-02-01,27.0,3.0,10.0,15.0,2.0
2021-02-02,21.0,5.0,4.0,20.0,2.0
2021-02-03,40.0,1.0,3.0,0.0,1.0
2021-02-04,19.0,3.0,2.0,23.0,3.0
2021-02-05,60.0,3.0,2.0,6.0,5.0
2021-02-06,17.0,1.0,1.0,10.0,1.0
2021-02-07,8.0,0.0,0.0,0.0,0.0
2021-02-08,51.0,0.0,0.0,0.0,1.0
2021-02-09,15.0,1.0,3.0,4.0,2.0
2021-02-10,19.0,1.0,2.0,7.0,0.0
2021-02-11,31.0,1.0,3.0,13.0,3.0
2021-02-12,33.0,6.0,3.0,27.0,3.0
2021-02-13,14.0,2.0,1.0,5.0,0.0
2021-02-14,12.0,1.0,0.0,0.0,3.0
2021-02-15,30.0,4.0,5.0,7.0,2.0
2021-02-16,16.0,1.0,3.0,4.0,3.0
2021-02-17,15.0,1.0,2.0,2.0,0.0
2021-02-18,24.0,0.0,2.0,2.0,1.0
2021-02-19,30.0,4.0,4.0,15.0,6.0
2021-02-20,8.0,0.0,1.0,0.0,1.0
2021-02-21,10.0,3.0,2.0,0.0,0.0
2021-02-22,47.0,2.0,1.0,16.0,4.0
2021-02-23,18.0,2.0,2.0,77.0,2.0
2021-02-24,84.0,7.0,6.0,18.0,7.0
2021-02-25,41.0,2.0,4.0,30.0,4.0
2021-02-26,32.0,4.0,3.0,7.0,2.0
2021-02-27,5.0,1.0,1.0,0.0,0.0
2021-02-28,11.0,3.0,1.0,0.0,0.0
2021-03-01,33.0,2.0,5.0,15.0,0.0
2021-03-02,25.0,3.0,7.0,23.0,2.0
2021-03-03,19.0,4.0,2.0,1.0,3.0
2021-03-04,26.0,1.0,1.0,30.0,1.0
2021-03-05,35.0,2.0,2.0,13.0,3.0
2021-03-06,10.0,0.0,0.0,2.0,0.0
2021-03-07,2.0,1.0,1.0,18.0,0.0
2021-03-08,24.0,1.0,3.0,9.0,3.0
2021-03-09,7.0,4.0,1.0,2.0,0.0
2021-03-10,15.0,2.0,4.0,10.0,1.0
2021-03-11,15.0,3.0,5.0,20.0,4.0
2021-03-12,35.0,2.0,0.0,7.0,4.0
2021-03-13,15.0,2.0,2.0,2.0,1.0
2021-03-14,17.0,4.0,2.0,24.0,0.0
2021-03-15,49.0,5.0,4.0,41.0,6.0
2021-03-16,17.0,1.0,3.0,10.0,2.0
2021-03-17,20.0,0.0,5.0,12.0,4.0
2021-03-18,50.0,2.0,2.0,6.0,5.0
2021-03-19,27.0,1.0,2.0,19.0,2.0
2021-03-20,4.0,1.0,1.0,5.0,0.0
2021-03-21,12.0,2.0,1.0,4.0,0.0
2021-03-22,53.0,4.0,4.0,17.0,4.0
2021-03-23,25.0,1.0,3.0,26.0,6.0
2021-03-24,26.0,3.0,1.0,14.0,5.0
2021-03-25,28.0,3.0,4.0,27.0,2.0
2021-03-26,29.0,2.0,3.0,25.0,3.0
2021-03-27,11.0,2.0,2.0,0.0,0.0
2021-03-28,2.0,2.0,0.0,0.0,0.0
2021-03-29,26.0,1.0,5.0,11.0,3.0
2021-03-30,20.0,1.0,4.0,7.0,4.0
2021-03-31,19.0,1.0,9.0,6.0,3.0
2021-04-01,15.0,1.0,4.0,2.0,3.0
2021-04-02,9.0,3.0,2.0,22.0,1.0
2021-04-03,2.0,1.0,3.0,1.0,0.0
2021-04-04,10.0,2.0,1.0,0.0,0.0
2021-04-05,16.0,3.0,1.0,4.0,1.0
2021-04-06,8.0,0.0,3.0,11.0,3.0
2021-04-07,16.0,2.0,3.0,6.0,6.0
2021-04-08,18.0,1.0,0.0,19.0,1.0
2021-04-09,31.0,3.0,4.0,28.0,4.0
2021-04-10,9.0,2.0,2.0,0.0,0.0
2021-04-11,3.0,3.0,1.0,0.0,0.0
2021-04-12,28.0,1.0,4.0,33.0,2.0
2021-04-13,14.0,3.0,1.0,28.0,4.0
2021-04-14,24.0,4.0,3.0,23.0,5.0
2021-04-15,24.0,1.0,2.0,9.0,3.0
2021-04-16,15.0,0.0,3.0,36.0,4.0
2021-04-17,2.0,0.0,0.0,0.0,0.0
2021-04-18,7.0,2.0,1.0,0.0,0.0
2021-04-19,24.0,3.0,2.0,51.0,1.0
2021-04-20,24.0,1.0,4.0,22.0,4.0
2021-04-21,21.0,3.0,6.0,6.0,6.0
2021-04-22,17.0,2.0,4.0,14.0,2.0
2021-04-23,37.0,4.0,5.0,19.0,4.0
2021-04-24,6.0,3.0,2.0,1.0,0.0
2021-04-25,0.0,1.0,0.0,1.0,0.0
2021-04-26,19.0,1.0,1.0,8.0,2.0
2021-04-27,23.0,3.0,1.0,9.0,5.0
2021-04-28,15.0,1.0,6.0,5.0,2.0
2021-04-29,29.0,1.0,2.0,19.0,4.0
2021-04-30,28.0,2.0,3.0,50.0,6.0
2021-05-01,9.0,6.0,3.0,0.0,2.0
2021-05-02,13.0,1.0,6.0,5.0,2.0
2021-05-03,22.0,2.0,3.0,7.0,3.0
2021-05-04,20.0,4.0,2.0,28.0,4.0
2021-05-05,17.0,3.0,1.0,8.0,1.0
2021-05-06,8.0,4.0,2.0,9.0,0.0
2021-05-07,16.0,1.0,4.0,19.0,4.0
2021-05-08,8.0,3.0,1.0,1.0,0.0
2021-05-09,1.0,0.0,2.0,0.0,0.0
2021-05-10,15.0,3.0,4.0,23.0,3.0
2021-05-11,14.0,1.0,1.0,16.0,0.0
2021-05-12,22.0,3.0,2.0,58.0,3.0
2021-05-13,21.0,2.0,2.0,51.0,0.0
2021-05-14,15.0,1.0,4.0,38.0,2.0
2021-05-15,13.0,3.0,1.0,0.0,1.0
2021-05-16,15.0,2.0,2.0,0.0,0.0
2021-05-17,39.0,1.0,1.0,17.0,5.0
2021-05-18,19.0,0.0,7.0,13.0,5.0
2021-05-19,20.0,3.0,1.0,9.0,1.0
2021-05-20,11.0,1.0,1.0,14.0,1.0
2021-05-21,17.0,3.0,1.0,9.0,2.0
2021-05-22,25.0,2.0,3.0,12.0,0.0
2021-05-23,3.0,2.0,6.0,1.0,0.0
2021-05-24,28.0,1.0,3.0,11.0,6.0
2021-05-25,38.0,6.0,6.0,14.0,5.0
2021-05-26,16.0,3.0,6.0,26.0,1.0
2021-05-27,25.0,2.0,1.0,33.0,3.0
2021-05-28,11.0,2.0,0.0,17.0,1.0
2021-05-29,8.0,1.0,0.0,1.0,0.0
2021-05-30,7.0,1.0,2.0,1.0,0.0
2021-05-31,10.0,1.0,2.0,0.0,0.0
2021-06-01,10.0,0.0,1.0,5.0,4.0
2021-06-02,10.0,3.0,3.0,22.0,1.0
2021-06-03,33.0,1.0,6.0,37.0,7.0
2021-06-04,17.0,1.0,2.0,4.0,4.0
2021-06-05,10.0,0.0,0.0,1.0,1.0
2021-06-06,9.0,0.0,2.0,0.0,0.0
2021-06-07,34.0,1.0,1.0,13.0,2.0
2021-06-08,22.0,4.0,2.0,56.0,2.0
2021-06-09,15.0,0.0,4.0,16.0,1.0
2021-06-10,25.0,2.0,5.0,9.0,3.0
2021-06-11,17.0,0.0,4.0,25.0,2.0
