date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,10.0,5.0,4.0,0.0,0.0
2021-01-02,11.0,1.0,2.0,0.0,0.0
2021-01-03,5.0,1.0,0.0,0.0,0.0
2021-01-04,263.0,1.0,71.0,47.0,0.0
2021-01-05,264.0,8.0,63.0,43.0,0.0
2021-01-06,175.0,5.0,55.0,66.0,0.0
2021-01-07,190.0,9.0,48.0,58.0,0.0
2021-01-08,209.0,5.0,52.0,60.0,0.0
2021-01-09,23.0,2.0,2.0,0.0,0.0
2021-01-10,27.0,2.0,5.0,0.0,0.0
2021-01-11,215.0,4.0,57.0,70.0,0.0
2021-01-12,235.0,8.0,73.0,72.0,0.0
2021-01-13,199.0,6.0,58.0,46.0,0.0
2021-01-14,230.0,8.0,64.0,62.0,0.0
2021-01-15,189.0,9.0,47.0,20.0,0.0
2021-01-16,13.0,0.0,2.0,0.0,0.0
2021-01-17,10.0,2.0,1.0,0.0,0.0
2021-01-18,263.0,6.0,73.0,52.0,0.0
2021-01-19,165.0,8.0,38.0,50.0,0.0
2021-01-20,191.0,4.0,54.0,50.0,1.0
2021-01-21,212.0,6.0,59.0,71.0,0.0
2021-01-22,232.0,4.0,67.0,99.0,0.0
2021-01-23,10.0,3.0,0.0,0.0,0.0
2021-01-24,16.0,1.0,4.0,0.0,0.0
2021-01-25,180.0,6.0,52.0,105.0,0.0
2021-01-26,193.0,6.0,51.0,93.0,0.0
2021-01-27,268.0,5.0,73.0,145.0,0.0
2021-01-28,247.0,1.0,69.0,115.0,0.0
2021-01-29,210.0,3.0,62.0,151.0,0.0
2021-01-30,18.0,1.0,3.0,0.0,0.0
2021-01-31,12.0,2.0,0.0,0.0,0.0
2021-02-01,241.0,7.0,58.0,111.0,0.0
2021-02-02,211.0,1.0,58.0,107.0,0.0
2021-02-03,134.0,9.0,31.0,131.0,2.0
2021-02-04,264.0,1.0,99.0,54.0,0.0
2021-02-05,297.0,3.0,84.0,74.0,0.0
2021-02-06,40.0,0.0,9.0,1.0,0.0
2021-02-07,17.0,1.0,1.0,0.0,0.0
2021-02-08,282.0,5.0,85.0,86.0,0.0
2021-02-09,246.0,4.0,75.0,78.0,0.0
2021-02-10,229.0,3.0,65.0,89.0,0.0
2021-02-11,359.0,6.0,103.0,98.0,0.0
2021-02-12,287.0,3.0,93.0,72.0,0.0
2021-02-13,30.0,3.0,4.0,0.0,0.0
2021-02-14,21.0,1.0,0.0,1.0,0.0
2021-02-15,336.0,4.0,103.0,106.0,1.0
2021-02-16,417.0,5.0,72.0,44.0,0.0
2021-02-17,316.0,6.0,99.0,37.0,0.0
2021-02-18,274.0,5.0,86.0,69.0,0.0
2021-02-19,208.0,3.0,61.0,72.0,0.0
2021-02-20,22.0,3.0,1.0,2.0,0.0
2021-02-21,23.0,2.0,0.0,0.0,0.0
2021-02-22,227.0,2.0,60.0,81.0,0.0
2021-02-23,226.0,5.0,80.0,71.0,0.0
2021-02-24,175.0,4.0,53.0,68.0,0.0
2021-02-25,305.0,6.0,95.0,33.0,0.0
2021-02-26,236.0,3.0,76.0,116.0,3.0
2021-02-27,15.0,5.0,0.0,2.0,0.0
2021-02-28,21.0,2.0,1.0,0.0,0.0
2021-03-01,206.0,6.0,45.0,112.0,1.0
2021-03-02,268.0,6.0,89.0,61.0,1.0
2021-03-03,241.0,3.0,69.0,88.0,0.0
2021-03-04,342.0,5.0,96.0,45.0,1.0
2021-03-05,357.0,6.0,106.0,51.0,0.0
2021-03-06,48.0,3.0,5.0,1.0,0.0
2021-03-07,26.0,2.0,5.0,0.0,1.0
2021-03-08,272.0,2.0,73.0,55.0,0.0
2021-03-09,218.0,3.0,60.0,40.0,0.0
2021-03-10,177.0,4.0,48.0,80.0,0.0
2021-03-11,292.0,3.0,89.0,67.0,0.0
2021-03-12,224.0,5.0,61.0,58.0,0.0
2021-03-13,26.0,5.0,5.0,0.0,0.0
2021-03-14,24.0,4.0,4.0,0.0,0.0
2021-03-15,297.0,4.0,91.0,57.0,0.0
2021-03-16,310.0,4.0,77.0,66.0,0.0
2021-03-17,227.0,4.0,52.0,128.0,0.0
2021-03-18,250.0,4.0,69.0,115.0,0.0
2021-03-19,182.0,2.0,50.0,70.0,0.0
2021-03-20,23.0,1.0,4.0,0.0,0.0
2021-03-21,22.0,0.0,4.0,1.0,0.0
2021-03-22,115.0,8.0,27.0,131.0,0.0
2021-03-23,189.0,3.0,47.0,190.0,0.0
2021-03-24,158.0,2.0,49.0,110.0,0.0
2021-03-25,203.0,5.0,50.0,60.0,1.0
2021-03-26,218.0,2.0,57.0,114.0,1.0
2021-03-27,28.0,0.0,3.0,3.0,0.0
2021-03-28,17.0,0.0,3.0,0.0,0.0
2021-03-29,261.0,4.0,62.0,147.0,0.0
2021-03-30,235.0,0.0,53.0,144.0,1.0
2021-03-31,200.0,6.0,40.0,93.0,0.0
2021-04-01,230.0,5.0,44.0,191.0,0.0
2021-04-02,207.0,4.0,37.0,106.0,0.0
2021-04-03,125.0,1.0,50.0,1.0,0.0
2021-04-04,33.0,3.0,5.0,0.0,0.0
2021-04-05,71.0,1.0,19.0,4.0,0.0
2021-04-06,239.0,4.0,58.0,39.0,0.0
2021-04-07,207.0,3.0,65.0,36.0,0.0
2021-04-08,261.0,3.0,84.0,68.0,0.0
2021-04-09,210.0,1.0,70.0,28.0,0.0
2021-04-10,42.0,0.0,12.0,1.0,0.0
2021-04-11,29.0,2.0,5.0,3.0,0.0
2021-04-12,171.0,3.0,39.0,48.0,0.0
2021-04-13,253.0,5.0,65.0,46.0,0.0
2021-04-14,241.0,4.0,53.0,89.0,0.0
2021-04-15,253.0,11.0,65.0,78.0,0.0
2021-04-16,186.0,6.0,74.0,68.0,1.0
2021-04-17,13.0,0.0,1.0,0.0,0.0
2021-04-18,30.0,1.0,5.0,0.0,0.0
2021-04-19,267.0,8.0,59.0,82.0,0.0
2021-04-20,245.0,5.0,61.0,45.0,0.0
2021-04-21,244.0,2.0,59.0,67.0,0.0
2021-04-22,282.0,5.0,83.0,73.0,0.0
2021-04-23,299.0,2.0,72.0,127.0,0.0
2021-04-24,19.0,4.0,1.0,0.0,0.0
2021-04-25,18.0,2.0,1.0,1.0,0.0
2021-04-26,241.0,3.0,62.0,59.0,0.0
