date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2022-08-11,2.0,1.0,0.0,0.0,0.0
2022-08-12,6.0,3.0,2.0,0.0,0.0
2022-08-13,2.0,3.0,0.0,0.0,1.0
2022-08-14,13.0,3.0,1.0,0.0,0.0
2022-08-15,14.0,8.0,0.0,0.0,0.0
2022-08-16,10.0,3.0,2.0,0.0,1.0
2022-08-17,17.0,2.0,0.0,0.0,0.0
2022-08-18,11.0,1.0,2.0,0.0,0.0
2022-08-19,4.0,4.0,2.0,3.0,0.0
2022-08-20,13.0,4.0,2.0,0.0,0.0
2022-08-21,16.0,1.0,1.0,2.0,0.0
2022-08-22,55.0,6.0,4.0,0.0,1.0
2022-08-23,102.0,16.0,1.0,3.0,1.0
2022-08-24,60.0,3.0,3.0,0.0,0.0
2022-08-25,59.0,15.0,0.0,0.0,0.0
2022-08-26,40.0,9.0,1.0,0.0,0.0
2022-08-27,49.0,3.0,1.0,0.0,0.0
2022-08-28,53.0,5.0,1.0,0.0,0.0
2022-08-29,85.0,6.0,2.0,0.0,0.0
2022-08-30,43.0,11.0,3.0,1.0,0.0
2022-08-31,70.0,11.0,3.0,1.0,0.0
2022-09-01,59.0,7.0,2.0,1.0,0.0
2022-09-02,35.0,3.0,3.0,1.0,0.0
2022-09-03,33.0,4.0,1.0,0.0,0.0
2022-09-04,22.0,12.0,3.0,1.0,0.0
2022-09-05,20.0,5.0,0.0,2.0,0.0
2022-09-06,35.0,7.0,3.0,3.0,0.0
2022-09-07,39.0,11.0,3.0,3.0,0.0
2022-09-08,42.0,11.0,2.0,0.0,0.0
2022-09-09,80.0,14.0,2.0,0.0,0.0
2022-09-10,18.0,7.0,3.0,0.0,0.0
2022-09-11,39.0,3.0,0.0,0.0,0.0
2022-09-12,26.0,3.0,0.0,3.0,0.0
2022-09-13,25.0,5.0,0.0,0.0,0.0
2022-09-14,13.0,7.0,0.0,0.0,0.0
2022-09-15,10.0,3.0,0.0,4.0,0.0
2022-09-16,2.0,3.0,2.0,5.0,0.0
2022-09-17,11.0,3.0,4.0,0.0,0.0
2022-09-18,13.0,2.0,0.0,0.0,0.0
2022-09-19,14.0,4.0,0.0,0.0,0.0
2022-09-20,8.0,3.0,0.0,0.0,0.0
2022-09-21,13.0,5.0,0.0,0.0,0.0
2022-09-22,16.0,3.0,0.0,0.0,0.0
2022-09-23,14.0,2.0,0.0,0.0,0.0
2022-09-24,3.0,2.0,0.0,0.0,0.0
2022-09-25,10.0,1.0,0.0,0.0,0.0
2022-09-26,8.0,2.0,0.0,0.0,0.0
2022-09-27,8.0,1.0,3.0,0.0,0.0
2022-09-28,19.0,6.0,2.0,0.0,0.0
2022-09-29,18.0,3.0,3.0,0.0,0.0
2022-09-30,42.0,4.0,0.0,0.0,0.0
2022-10-01,9.0,3.0,1.0,0.0,0.0
2022-10-02,7.0,1.0,0.0,0.0,0.0
2022-10-03,17.0,3.0,0.0,0.0,0.0
2022-10-04,17.0,1.0,0.0,0.0,0.0
2022-10-05,8.0,1.0,0.0,0.0,0.0
2022-10-06,47.0,4.0,1.0,0.0,0.0
2022-10-07,17.0,1.0,1.0,0.0,0.0
2022-10-08,19.0,3.0,0.0,0.0,0.0
2022-10-09,11.0,1.0,1.0,0.0,0.0
2022-10-10,1.0,1.0,0.0,0.0,0.0
2022-10-11,11.0,5.0,1.0,0.0,0.0
2022-10-12,12.0,2.0,0.0,0.0,0.0
2022-10-13,6.0,5.0,0.0,0.0,0.0
2022-10-14,9.0,1.0,0.0,0.0,0.0
2022-10-15,4.0,2.0,0.0,1.0,0.0
2022-10-16,5.0,3.0,1.0,0.0,0.0
2022-10-17,7.0,3.0,0.0,0.0,0.0
2022-10-18,11.0,3.0,1.0,0.0,0.0
2022-10-19,5.0,2.0,0.0,0.0,0.0
2022-10-20,10.0,4.0,2.0,0.0,0.0
2022-10-21,14.0,4.0,1.0,0.0,0.0
2022-10-22,5.0,0.0,0.0,0.0,0.0
2022-10-23,3.0,4.0,0.0,0.0,0.0
2022-10-24,12.0,3.0,1.0,0.0,0.0
2022-10-25,3.0,5.0,0.0,0.0,0.0
2022-10-26,9.0,2.0,1.0,0.0,0.0
2022-10-27,9.0,1.0,1.0,0.0,0.0
2022-10-28,12.0,5.0,3.0,0.0,0.0
2022-10-29,3.0,0.0,0.0,0.0,0.0
2022-10-30,5.0,0.0,1.0,0.0,0.0
2022-10-31,8.0,5.0,0.0,0.0,0.0
2022-11-01,8.0,2.0,1.0,0.0,0.0
2022-11-02,3.0,1.0,1.0,0.0,0.0
2022-11-03,4.0,4.0,0.0,0.0,0.0
2022-11-04,13.0,2.0,0.0,0.0,0.0
2022-11-05,5.0,0.0,1.0,0.0,0.0
2022-11-06,2.0,1.0,0.0,0.0,0.0
2022-11-07,4.0,2.0,0.0,2.0,0.0
2022-11-08,9.0,3.0,0.0,1.0,0.0
2022-11-09,3.0,2.0,1.0,0.0,0.0
2022-11-10,8.0,2.0,0.0,0.0,0.0
2022-11-11,10.0,2.0,0.0,0.0,0.0
2022-11-12,9.0,0.0,4.0,0.0,0.0
2022-11-13,4.0,2.0,0.0,0.0,0.0
2022-11-14,6.0,1.0,0.0,0.0,0.0
2022-11-15,13.0,4.0,0.0,0.0,0.0
2022-11-16,19.0,6.0,0.0,0.0,1.0
2022-11-17,3.0,2.0,0.0,0.0,0.0
2022-11-18,4.0,1.0,0.0,0.0,0.0
2022-11-19,0.0,3.0,0.0,0.0,0.0
2022-11-20,4.0,1.0,0.0,0.0,0.0
2022-11-21,3.0,0.0,0.0,0.0,0.0
2022-11-22,3.0,0.0,0.0,0.0,0.0
2022-11-23,9.0,3.0,0.0,0.0,0.0
2022-11-24,7.0,1.0,0.0,0.0,0.0
2022-11-25,10.0,1.0,0.0,0.0,0.0
2022-11-26,6.0,0.0,0.0,0.0,0.0
2022-11-27,3.0,3.0,2.0,0.0,0.0
2022-11-28,4.0,0.0,0.0,0.0,0.0
2022-11-29,1.0,0.0,0.0,0.0,0.0
2022-11-30,1.0,4.0,0.0,0.0,0.0
2022-12-01,1.0,2.0,0.0,0.0,0.0
2022-12-02,8.0,1.0,0.0,0.0,0.0
2022-12-03,2.0,1.0,0.0,0.0,0.0
2022-12-04,3.0,2.0,0.0,0.0,0.0
2022-12-05,1.0,1.0,0.0,0.0,0.0
2022-12-06,4.0,3.0,0.0,0.0,0.0
2022-12-07,5.0,0.0,0.0,0.0,0.0
2022-12-08,3.0,3.0,0.0,0.0,0.0
2022-12-09,5.0,2.0,0.0,0.0,0.0
2022-12-10,1.0,0.0,2.0,0.0,0.0
2022-12-11,1.0,2.0,0.0,0.0,0.0
2022-12-12,9.0,1.0,0.0,0.0,0.0
2022-12-13,3.0,0.0,0.0,0.0,0.0
2022-12-14,0.0,2.0,0.0,0.0,0.0
2022-12-15,1.0,0.0,0.0,0.0,0.0
2022-12-16,2.0,1.0,0.0,0.0,0.0
2022-12-17,3.0,0.0,1.0,0.0,0.0
2022-12-18,2.0,0.0,0.0,0.0,0.0
2022-12-19,2.0,1.0,0.0,0.0,0.0
2022-12-20,3.0,2.0,0.0,0.0,0.0
2022-12-21,2.0,0.0,0.0,0.0,0.0
2022-12-22,3.0,1.0,0.0,0.0,0.0
2022-12-23,4.0,2.0,0.0,0.0,0.0
2022-12-24,1.0,2.0,0.0,0.0,0.0
2022-12-25,0.0,1.0,0.0,0.0,0.0
2022-12-26,4.0,0.0,1.0,0.0,0.0
2022-12-27,1.0,1.0,0.0,0.0,0.0
2022-12-28,4.0,2.0,0.0,0.0,0.0
2022-12-29,3.0,3.0,0.0,0.0,0.0
2022-12-30,3.0,0.0,0.0,0.0,0.0
2022-12-31,8.0,0.0,0.0,0.0,0.0
