date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,0.0,0.0,0.0,4.0,0.0
2021-01-02,2.0,2.0,0.0,0.0,0.0
2021-01-03,5.0,1.0,1.0,0.0,0.0
2021-01-04,9.0,0.0,2.0,0.0,1.0
2021-01-05,17.944444444444443,5.0,6.0,18.0,8.0
2021-01-06,35.0,3.0,5.0,4.0,9.0
2021-01-07,17.0,3.0,6.0,5.0,7.0
2021-01-08,26.0,3.0,6.0,0.0,2.0
2021-01-09,4.0,1.0,0.0,1.0,0.0
2021-01-10,0.0,2.0,0.0,0.0,0.0
2021-01-11,36.0,1.0,5.0,3.0,4.0
2021-01-12,34.0,2.0,5.0,11.0,4.0
2021-01-13,20.0,3.0,8.0,25.0,7.0
2021-01-14,27.0,5.0,15.0,25.0,8.0
2021-01-15,34.0,4.0,2.0,21.0,9.0
2021-01-16,7.0,0.0,3.0,1.0,3.0
2021-01-17,11.0,2.0,0.0,0.0,1.0
2021-01-18,12.0,0.0,2.0,0.0,1.0
2021-01-19,28.0,4.0,10.0,3.0,8.0
2021-01-20,29.0,2.7857142857142856,9.0,19.0,9.0
2021-01-21,19.0,5.0,9.0,12.0,10.0
2021-01-22,25.0,4.0,9.0,2.0,10.0
2021-01-23,7.0,2.0,1.0,0.0,1.0
2021-01-24,2.0,0.0,1.0,0.0,0.0
2021-01-25,21.0,4.0,14.0,1.0,9.0
2021-01-26,22.0,4.0,6.0,1.0,6.0
2021-01-27,17.0,4.0,1.0,1.0,5.0
2021-01-28,16.0,4.0,6.0,2.0,4.0
2021-01-29,38.0,4.0,12.0,16.0,8.0
2021-01-30,10.0,1.0,1.0,1.0,0.0
2021-01-31,7.0,0.0,0.0,0.0,0.0
2021-02-01,22.0,1.0,5.0,26.0,3.0
2021-02-02,28.0,2.0,7.0,26.0,8.0
2021-02-03,36.0,5.0,11.0,2.0,12.0
2021-02-04,33.0,5.0,7.0,20.0,6.0
2021-02-05,11.0,2.7857142857142856,7.0,14.0,3.0
2021-02-06,2.0,1.0,0.0,2.0,1.0
2021-02-07,3.0,1.0,0.0,0.0,0.0
2021-02-08,29.0,1.0,10.0,23.0,4.0
2021-02-09,26.0,3.0,7.0,8.0,12.0
2021-02-10,18.0,2.0,15.0,8.0,4.0
2021-02-11,20.0,2.7142857142857144,11.0,26.0,10.0
2021-02-12,38.0,5.0,12.0,30.0,13.0
