date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,5.0,1.0,1.0,0.0,0.0
2021-01-02,4.0,3.0,0.0,0.0,0.0
2021-01-03,3.0,3.0,2.0,0.0,0.0
2021-01-04,34.0,1.0,10.0,38.0,7.0
2021-01-05,34.0,2.0,9.0,13.0,6.0
2021-01-06,34.0,5.0,8.0,11.0,7.0
2021-01-07,83.0,7.0,8.0,19.0,11.0
2021-01-08,83.0,4.0,8.0,8.0,15.0
2021-01-09,8.0,3.0,2.0,0.0,0.0
2021-01-10,7.0,0.0,2.0,0.0,9.0
2021-01-11,42.0,4.0,8.0,6.0,25.0
2021-01-12,73.0,15.0,8.0,4.0,1.0
2021-01-13,38.0,7.0,7.0,17.0,6.0
2021-01-14,52.0,5.0,13.0,3.0,10.0
2021-01-15,70.0,8.0,12.0,2.0,8.0
2021-01-16,2.0,1.0,2.0,5.0,0.0
2021-01-17,11.0,3.0,0.0,1.0,0.0
2021-01-18,52.0,5.0,9.0,6.0,5.0
2021-01-19,50.0,6.0,12.0,12.0,2.0
2021-01-20,51.0,6.0,6.0,11.0,4.0
2021-01-21,51.0,7.0,5.0,33.0,4.0
2021-01-22,56.0,6.0,5.0,35.0,5.0
2021-01-23,4.0,2.0,6.0,0.0,4.0
2021-01-24,13.0,2.0,1.0,0.0,0.0
2021-01-25,57.0,8.0,11.0,7.0,8.0
2021-01-26,53.0,7.0,9.0,36.0,5.0
2021-01-27,66.0,5.0,5.0,28.0,7.0
2021-01-28,46.0,5.0,13.0,14.0,9.0
2021-01-29,76.0,6.0,7.0,29.0,0.0
2021-01-30,17.0,3.0,4.0,8.0,0.0
2021-01-31,12.0,1.0,1.0,1.0,0.0
2021-02-01,38.0,2.0,14.0,21.0,5.0
2021-02-02,48.0,3.0,6.0,39.0,12.0
2021-02-03,53.0,6.0,10.0,11.0,8.0
2021-02-04,54.0,7.0,14.0,32.0,10.0
2021-02-05,69.0,6.0,19.0,49.0,29.0
2021-02-06,2.0,0.0,2.0,1.0,0.0
2021-02-07,21.0,2.0,0.0,1.0,16.0
2021-02-08,34.0,4.0,6.0,5.0,3.0
2021-02-09,66.0,5.0,18.0,9.0,8.0
2021-02-10,32.0,2.0,2.0,37.0,4.0
2021-02-11,36.0,7.0,11.0,15.0,7.0
2021-02-12,52.0,3.0,11.0,45.0,13.0
2021-02-13,15.0,3.0,4.0,7.0,3.0
2021-02-14,22.0,2.0,4.0,3.0,0.0
2021-02-15,40.0,5.0,9.0,20.0,1.0
2021-02-16,32.0,6.0,4.0,17.0,1.0
2021-02-17,51.0,8.0,5.0,3.0,2.0
2021-02-18,36.0,5.0,9.0,5.0,10.0
2021-02-19,38.0,5.0,5.0,5.0,0.0
2021-02-20,5.0,1.0,4.0,1.0,0.0
2021-02-21,12.0,4.0,2.0,0.0,0.0
2021-02-22,32.0,3.0,8.0,14.0,5.0
2021-02-23,80.0,8.0,9.0,9.0,7.0
2021-02-24,36.0,4.0,6.0,6.0,3.0
2021-02-25,45.0,3.0,8.0,11.0,4.0
2021-02-26,20.0,5.0,2.0,5.0,1.0
2021-02-27,4.0,1.0,1.0,1.0,0.0
2021-02-28,9.0,1.0,1.0,0.0,1.0
2021-03-01,43.0,7.0,7.0,8.0,9.0
2021-03-02,65.0,2.0,8.0,28.0,10.0
2021-03-03,44.0,6.0,10.0,10.0,11.0
2021-03-04,38.0,6.0,8.0,63.0,2.0
2021-03-05,35.0,6.0,10.0,12.0,2.0
2021-03-06,8.0,3.0,0.0,2.0,0.0
2021-03-07,1.0,0.0,1.0,0.0,0.0
2021-03-08,50.0,3.0,14.0,15.0,32.0
2021-03-09,23.0,5.0,4.0,7.0,1.0
2021-03-10,19.0,3.0,6.0,15.0,2.0
2021-03-11,59.0,8.0,9.0,39.0,14.0
2021-03-12,52.0,5.0,9.0,9.0,2.0
2021-03-13,17.0,4.0,6.0,0.0,2.0
2021-03-14,9.0,3.0,3.0,0.0,0.0
2021-03-15,50.0,4.0,11.0,12.0,4.0
2021-03-16,65.0,5.0,10.0,14.0,3.0
2021-03-17,53.0,4.0,10.0,27.0,5.0
2021-03-18,47.0,3.0,9.0,14.0,10.0
2021-03-19,51.0,6.0,11.0,6.0,4.0
2021-03-20,13.0,4.0,5.0,0.0,3.0
2021-03-21,8.0,2.0,1.0,0.0,0.0
2021-03-22,48.0,8.0,5.0,7.0,1.0
2021-03-23,52.0,5.0,10.0,14.0,7.0
2021-03-24,21.0,3.0,13.0,18.0,7.0
2021-03-25,43.0,3.0,6.0,11.0,10.0
2021-03-26,37.0,6.0,4.0,13.0,4.0
2021-03-27,10.0,1.0,3.0,4.0,1.0
2021-03-28,10.0,1.0,1.0,3.0,1.0
2021-03-29,24.0,4.0,3.0,1.0,3.0
2021-03-30,28.0,5.0,10.0,11.0,6.0
2021-03-31,23.0,3.0,4.0,2.0,3.0
2021-04-01,43.0,6.0,8.0,1.0,2.0
2021-04-02,16.0,3.0,3.0,3.0,0.0
2021-04-03,16.0,1.0,2.0,8.0,10.0
2021-04-04,9.0,2.0,3.0,3.0,0.0
2021-04-05,64.0,18.0,10.0,18.0,24.0
2021-04-06,62.0,5.0,14.0,18.0,14.0
2021-04-07,25.0,3.0,15.0,3.0,2.0
2021-04-08,52.0,7.0,10.0,31.0,5.0
2021-04-09,45.0,5.0,5.0,11.0,1.0
2021-04-10,19.0,1.0,4.0,3.0,4.0
2021-04-11,9.0,2.0,5.0,0.0,1.0
2021-04-12,36.0,7.0,13.0,37.0,6.0
2021-04-13,38.0,3.0,16.0,27.0,33.0
2021-04-14,58.0,8.0,7.0,4.0,1.0
2021-04-15,63.0,6.0,14.0,2.0,11.0
2021-04-16,57.0,3.0,17.0,64.0,11.0
2021-04-17,9.0,1.0,1.0,4.0,2.0
2021-04-18,4.0,1.0,0.0,0.0,0.0
2021-04-19,27.0,3.0,8.0,23.0,4.0
2021-04-20,57.0,6.0,16.0,29.0,19.0
2021-04-21,37.0,4.0,12.0,38.0,8.0
2021-04-22,60.0,6.0,10.0,11.0,6.0
2021-04-23,60.0,5.0,9.0,19.0,10.0
2021-04-24,5.0,0.0,5.0,0.0,0.0
