date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,2.0,1.0,0.0,0.0,0.0
2021-01-02,4.0,1.0,1.0,0.0,0.0
2021-01-03,2.0,0.0,1.0,0.0,0.0
2021-01-04,168.0,13.0,42.0,52.0,37.0
2021-01-05,197.0,20.0,66.0,97.0,79.0
2021-01-06,190.0,15.0,52.0,49.0,52.0
2021-01-07,171.0,16.0,55.0,98.0,50.0
2021-01-08,31.0,3.0,14.0,14.0,10.0
2021-01-09,9.0,0.0,6.0,0.0,1.0
2021-01-10,4.0,1.0,2.0,1.0,0.0
2021-01-11,155.0,8.0,80.0,63.0,66.0
2021-01-12,185.0,16.0,76.0,97.0,74.0
2021-01-13,185.0,14.0,73.0,97.0,68.0
2021-01-14,113.0,13.0,40.0,73.0,47.0
2021-01-15,162.0,10.0,62.0,71.0,56.0
2021-01-16,10.0,3.0,3.0,3.0,4.0
2021-01-17,6.0,0.0,1.0,0.0,2.0
2021-01-18,95.0,4.0,41.0,27.0,39.0
2021-01-19,152.0,16.0,48.0,49.0,49.0
2021-01-20,101.0,14.0,46.0,63.0,52.0
2021-01-21,126.0,13.0,42.0,65.0,44.0
2021-01-22,12.0,1.0,8.0,1.0,0.0
2021-01-23,3.0,0.0,3.0,2.0,2.0
2021-01-24,16.0,6.0,3.0,2.0,0.0
2021-01-25,135.0,21.0,64.0,39.0,60.0
2021-01-26,172.0,15.0,56.0,104.0,52.0
2021-01-27,133.0,9.0,47.0,97.0,44.0
2021-01-28,179.0,19.0,67.0,138.0,63.0
2021-01-29,215.0,11.0,61.0,64.0,49.0
2021-01-30,10.0,1.0,4.0,0.0,1.0
2021-01-31,14.0,1.0,5.0,0.0,2.0
2021-02-01,159.0,15.0,62.0,86.0,68.0
2021-02-02,162.0,11.0,71.0,68.0,76.0
2021-02-03,257.0,14.0,65.0,87.0,67.0
2021-02-04,133.0,18.0,45.0,96.0,46.0
2021-02-05,116.0,8.0,43.0,81.0,40.0
2021-02-06,7.0,2.0,2.0,3.0,0.0
2021-02-07,19.0,1.0,10.0,6.0,8.0
2021-02-08,164.0,14.0,69.0,67.0,66.0
