date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,6.0,4.0,0.0,0.0,0.0
2021-01-02,8.0,5.0,0.0,0.0,0.0
2021-01-03,3.0,1.0,0.0,0.0,0.0
2021-01-04,52.0,6.0,11.0,0.0,9.0
2021-01-05,111.0,5.0,10.0,0.0,29.0
2021-01-06,24.0,4.0,2.0,2.0,0.0
2021-01-07,68.0,3.0,27.0,1.0,15.0
2021-01-08,30.0,7.0,1.0,1.0,9.0
2021-01-09,9.0,3.0,2.0,1.0,0.0
2021-01-10,10.0,3.0,0.0,0.0,0.0
2021-01-11,64.0,5.0,10.0,4.0,17.0
2021-01-12,20.0,9.0,4.0,7.0,4.0
2021-01-13,89.0,11.0,17.0,3.0,12.0
2021-01-14,43.0,7.0,4.0,2.0,8.0
2021-01-15,24.0,5.0,2.0,0.0,2.0
2021-01-16,4.0,3.0,0.0,0.0,0.0
2021-01-17,5.0,3.0,1.0,0.0,0.0
2021-01-18,24.0,8.0,4.0,2.0,0.0
2021-01-19,56.0,7.0,14.0,1.0,11.0
2021-01-20,58.0,11.0,36.0,14.0,14.0
2021-01-21,72.0,7.0,11.0,1.0,25.0
2021-01-22,28.0,2.0,8.0,2.0,8.0
2021-01-23,8.0,0.0,2.0,0.0,1.0
2021-01-24,18.0,2.0,2.0,0.0,0.0
2021-01-25,90.0,7.0,16.0,14.0,29.0
2021-01-26,67.0,4.0,15.0,13.0,11.0
2021-01-27,91.0,4.0,17.0,7.0,20.0
2021-01-28,48.0,5.0,12.0,0.0,9.0
2021-01-29,43.0,8.0,5.0,1.0,12.0
2021-01-30,16.0,1.0,3.0,0.0,1.0
2021-01-31,19.0,6.0,2.0,2.0,1.0
2021-02-01,47.0,7.0,6.0,5.0,2.0
2021-02-02,45.0,3.0,10.0,7.0,7.0
2021-02-03,45.0,9.0,12.0,11.0,5.0
2021-02-04,43.0,5.0,9.0,7.0,4.0
2021-02-05,48.0,4.0,8.0,11.0,11.0
2021-02-06,21.0,2.0,1.0,0.0,0.0
2021-02-07,12.0,0.0,1.0,0.0,0.0
2021-02-08,81.0,6.0,19.0,1.0,10.0
2021-02-09,56.0,8.0,10.0,8.0,13.0
2021-02-10,65.0,2.0,7.0,4.0,9.0
2021-02-11,78.0,9.0,10.0,3.0,10.0
2021-02-12,20.0,3.0,1.0,1.0,6.0
2021-02-13,8.0,1.0,0.0,1.0,0.0
2021-02-14,6.0,1.0,0.0,0.0,0.0
2021-02-15,42.0,5.0,5.0,0.0,9.0
2021-02-16,37.0,5.0,6.0,2.0,8.0
2021-02-17,46.0,9.0,10.0,2.0,8.0
2021-02-18,77.0,13.0,31.0,1.0,26.0
