date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,8.0,0.0,2.0,0.0,0.0
2021-01-02,12.0,0.0,0.0,18.0,1.0
2021-01-03,33.0,2.0,2.0,7.0,3.0
2021-01-04,28.0,1.0,3.0,3.0,1.0
2021-01-05,41.0,8.0,8.0,7.0,5.0
2021-01-06,27.0,2.0,1.0,1.0,2.0
2021-01-07,31.0,3.0,1.0,4.0,1.0
2021-01-08,24.0,3.0,2.0,9.0,1.0
2021-01-09,27.0,3.0,1.0,25.0,2.0
2021-01-10,27.0,1.0,1.0,4.0,2.0
2021-01-11,29.0,3.0,5.0,10.0,6.0
2021-01-12,24.0,0.0,1.0,6.0,0.0
2021-01-13,36.0,3.0,3.0,1.0,1.0
2021-01-14,25.0,3.0,5.0,0.0,2.0
2021-01-15,15.0,4.0,3.0,2.0,0.0
2021-01-16,8.0,1.0,1.0,3.0,1.0
2021-01-17,25.0,1.0,2.0,16.0,0.0
2021-01-18,29.0,2.0,5.0,8.0,2.0
2021-01-19,36.0,2.0,3.0,37.0,9.0
2021-01-20,27.0,2.0,3.0,3.0,2.0
2021-01-21,17.0,2.0,4.0,23.0,4.0
2021-01-22,25.0,3.0,3.0,22.0,1.0
2021-01-23,8.0,1.0,3.0,53.0,0.0
2021-01-24,24.0,1.0,5.0,7.0,9.0
2021-01-25,48.0,1.0,10.0,26.0,7.0
2021-01-26,30.0,0.0,6.0,25.0,7.0
2021-01-27,27.0,7.0,2.0,24.0,1.0
2021-01-28,8.0,1.0,5.0,6.0,3.0
2021-01-29,22.0,2.0,5.0,13.0,9.0
2021-01-30,13.0,2.0,2.0,1.0,2.0
2021-01-31,66.0,6.0,4.0,8.0,4.0
2021-02-01,45.0,7.0,11.0,3.0,9.0
2021-02-02,53.0,8.0,7.0,10.0,7.0
2021-02-03,55.0,6.0,6.0,6.0,5.0
2021-02-04,48.0,2.0,12.0,13.0,4.0
2021-02-05,65.0,2.0,7.0,7.0,8.0
2021-02-06,41.0,0.0,9.0,0.0,8.0
2021-02-07,49.0,4.0,8.0,15.0,8.0
2021-02-08,51.0,3.0,6.0,9.0,6.0
2021-02-09,47.0,2.0,7.0,10.0,4.0
2021-02-10,43.0,4.0,4.0,38.0,8.0
2021-02-11,24.0,2.0,7.0,57.0,3.0
2021-02-12,40.0,4.0,4.0,41.0,5.0
2021-02-13,18.0,1.0,0.0,5.0,0.0
2021-02-14,19.0,5.0,0.0,10.0,0.0
2021-02-15,46.0,1.0,8.0,15.0,6.0
2021-02-16,30.0,4.0,4.0,12.0,1.0
2021-02-17,39.0,4.0,5.0,7.0,4.0
2021-02-18,30.0,3.0,1.0,31.0,1.0
2021-02-19,26.0,3.0,3.0,10.0,2.0
2021-02-20,7.0,3.0,1.0,3.0,0.0
2021-02-21,26.0,2.0,8.0,10.0,2.0
2021-02-22,38.0,1.0,5.0,34.0,13.0
2021-02-23,32.0,3.0,3.0,19.0,2.0
2021-02-24,50.0,3.0,6.0,40.0,6.0
2021-02-25,42.0,4.0,7.0,14.0,7.0
2021-02-26,49.0,3.0,4.0,17.0,2.0
2021-02-27,7.0,1.0,3.0,7.0,2.0
2021-02-28,26.0,4.0,5.0,15.0,5.0
2021-03-01,25.0,3.0,4.0,8.0,2.0
2021-03-02,30.0,4.0,3.0,4.0,2.0
2021-03-03,50.0,4.0,5.0,4.0,2.0
2021-03-04,42.0,4.0,2.0,5.0,2.0
