date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2015-12-17,140.73,41.73,4.1,1.5,2.77
2015-12-18,141.8,40.5,3.93,1.5,2.7
2015-12-19,132.33,36.23,3.67,1.33,2.47
2015-12-20,125.7,34.27,3.27,1.2,2.27
2015-12-21,126.37,34.57,3.07,1.0,2.2
2015-12-22,126.73,34.73,2.93,0.97,2.2
2015-12-23,122.5,34.07,2.7,1.03,1.83
2015-12-24,112.13,32.3,2.43,0.87,1.57
2015-12-25,107.83,30.1,2.33,0.67,1.47
2015-12-26,102.03,28.93,2.3,0.67,1.43
2015-12-27,98.1,28.03,2.07,0.53,1.3
2015-12-28,99.27,27.83,2.1,0.53,1.33
2015-12-29,100.87,27.83,2.07,0.53,1.33
2015-12-30,96.7,27.23,1.97,0.53,1.3
2015-12-31,92.07,26.07,1.77,0.5,1.07
2016-01-01,86.63,24.5,1.83,0.5,0.97
2016-01-02,81.97,23.5,1.7,0.5,0.93
2016-01-03,78.23,22.57,1.6,0.4,0.73
2016-01-04,81.2,22.87,1.6,0.4,0.77
2016-01-05,85.03,23.43,1.57,0.4,0.77
2016-01-06,83.9,23.63,1.43,0.4,0.73
2016-01-07,83.27,23.6,1.23,0.37,0.73
2016-01-08,82.57,23.4,1.23,0.37,0.63
2016-01-09,80.43,22.8,1.17,0.27,0.5
2016-01-10,77.63,22.3,1.07,0.13,0.43
2016-01-11,81.97,22.77,1.0,0.13,0.5
2016-01-12,85.67,23.47,1.03,0.13,0.6
2016-01-13,84.73,21.77,1.1,0.13,0.63
2016-01-14,83.23,21.3,1.2,0.13,0.7
2016-01-15,79.3,20.6,1.2,1.1,0.67
2016-01-16,76.1,19.83,1.17,1.13,0.63
2016-01-17,73.0,19.23,1.1,1.13,0.57
2016-01-18,72.8,18.83,1.17,1.27,0.63
2016-01-19,73.57,18.93,1.13,1.83,0.73
2016-01-20,71.47,17.97,1.17,1.83,0.8
2016-01-21,69.63,17.67,1.27,2.33,0.87
2016-01-22,68.73,17.73,1.3,2.27,0.9
2016-01-23,68.87,17.37,1.27,2.27,0.87
2016-01-24,68.9,17.27,1.2,2.27,0.9
2016-01-25,71.23,18.5,1.27,2.3,1.17
2016-01-26,78.07,22.97,1.27,2.3,1.17
2016-01-27,83.27,25.03,1.2,2.3,1.13
2016-01-28,86.23,25.73,1.3,2.3,1.2
2016-01-29,89.93,26.53,1.3,2.3,1.23
2016-01-30,90.97,26.73,1.43,2.3,1.23
2016-01-31,91.47,27.13,1.37,2.4,1.23
2016-02-01,95.17,27.67,1.43,2.4,1.3
2016-02-02,99.47,28.23,1.53,2.4,1.33
2016-02-03,99.1,28.67,1.5,2.4,1.37
2016-02-04,98.1,29.0,1.6,2.4,1.37
2016-02-05,98.53,28.57,1.67,2.4,1.4
2016-02-06,97.37,28.53,1.73,2.4,1.37
2016-02-07,94.5,27.83,1.7,2.4,1.33
2016-02-08,96.73,28.37,1.73,2.4,1.4
2016-02-09,101.7,30.03,1.77,2.4,1.43
2016-02-10,103.87,30.53,1.87,2.4,1.37
2016-02-11,103.87,30.8,1.9,2.4,1.27
2016-02-12,102.27,31.1,1.93,2.4,1.33
2016-02-13,99.03,30.33,1.87,2.4,1.27
2016-02-14,97.77,30.23,1.8,1.4,1.27
2016-02-15,99.2,30.53,1.9,1.37,1.27
2016-02-16,101.87,31.2,1.9,1.43,1.33
2016-02-17,101.57,31.5,1.83,1.3,1.23
2016-02-18,102.57,32.13,2.03,0.73,1.27
2016-02-19,102.3,32.83,2.1,0.73,1.33
2016-02-20,102.07,32.53,2.0,0.23,1.23
2016-02-21,101.2,32.2,1.9,0.2,1.2
2016-02-22,105.3,33.3,1.97,0.2,1.37
2016-02-23,109.67,36.97,2.03,0.2,1.37
2016-02-24,113.93,37.17,1.93,0.17,1.1
2016-02-25,112.5,33.93,1.93,0.17,1.1
2016-02-26,108.53,32.83,2.0,0.17,1.1
2016-02-27,104.23,31.8,1.9,0.17,1.03
2016-02-28,100.03,30.8,2.0,0.17,1.0
2016-02-29,105.67,31.27,1.87,0.27,1.13
2016-03-01,111.97,31.8,1.83,0.17,1.13
2016-03-02,113.0,32.27,1.83,0.17,1.1
2016-03-03,113.43,32.8,1.83,0.17,1.1
2016-03-04,113.77,32.8,1.97,0.2,1.13
2016-03-05,111.27,32.03,1.87,0.2,1.13
2016-03-06,108.43,31.63,1.8,0.2,1.07
2016-03-07,111.83,32.17,1.73,0.23,1.17
2016-03-08,121.9,34.97,1.87,0.23,1.17
2016-03-09,127.5,35.87,1.8,0.23,1.1
2016-03-10,128.3,35.0,1.83,0.23,1.1
2016-03-11,128.53,35.93,1.8,0.23,1.17
2016-03-12,126.73,35.47,1.8,0.23,1.17
2016-03-13,125.2,34.93,1.7,0.23,1.07
2016-03-14,136.1,38.47,1.67,0.23,1.07
2016-03-15,145.4,40.4,1.7,0.23,1.07
2016-03-16,152.9,41.53,1.77,0.83,1.07
2016-03-17,160.0,42.3,1.73,0.8,1.13
2016-03-18,162.97,42.9,1.7,0.8,1.17
2016-03-19,160.27,42.07,1.6,0.8,1.03
2016-03-20,158.93,41.5,1.47,0.8,0.9
2016-03-21,166.03,42.57,1.5,0.8,0.9
2016-03-22,169.87,43.83,1.7,1.2,0.97
2016-03-23,169.23,43.57,1.8,1.2,1.0
2016-03-24,169.3,40.7,1.8,1.27,1.07
2016-03-25,163.73,39.7,1.8,1.27,1.07
2016-03-26,159.37,38.53,1.8,1.27,1.07
2016-03-27,156.6,37.5,1.77,1.27,1.07
2016-03-28,157.6,37.9,1.77,1.27,1.07
2016-03-29,162.97,39.37,1.77,1.27,1.1
2016-03-30,161.03,39.17,1.8,1.63,0.97
2016-03-31,158.93,39.03,1.87,1.63,1.1
2016-04-01,158.77,38.6,1.93,1.63,1.17
2016-04-02,153.6,37.53,1.83,1.63,1.13
2016-04-03,150.4,36.7,1.7,1.6,1.03
2016-04-04,154.97,37.6,1.8,1.63,1.13
2016-04-05,160.03,39.1,1.8,1.67,1.2
2016-04-06,159.03,40.23,1.9,1.63,1.17
2016-04-07,154.27,37.9,1.83,1.63,1.17
2016-04-08,149.5,37.03,1.9,1.63,1.3
2016-04-09,144.43,35.9,1.97,1.9,1.27
2016-04-10,137.17,34.13,1.9,2.0,1.2
2016-04-11,138.5,34.7,1.93,2.0,1.33
2016-04-12,139.67,34.93,2.0,2.0,1.33
2016-04-13,132.77,31.93,2.03,2.03,1.43
2016-04-14,128.1,31.17,2.1,2.03,1.43
2016-04-15,127.6,32.0,2.17,1.8,1.53
2016-04-16,119.73,31.23,2.27,1.77,1.43
2016-04-17,117.2,30.3,2.3,1.77,1.43
2016-04-18,124.33,31.07,2.33,2.13,1.5
2016-04-19,128.7,32.03,2.4,2.13,1.6
2016-04-20,126.3,32.53,2.43,2.3,1.73
2016-04-21,130.27,32.27,2.37,2.9,1.87
2016-04-22,131.47,32.63,2.23,2.9,1.73
2016-04-23,129.0,32.47,2.2,2.9,1.63
2016-04-24,129.1,32.23,2.3,2.9,1.67
2016-04-25,133.1,33.83,2.37,2.9,1.77
2016-04-26,139.4,36.43,2.4,2.9,1.77
2016-04-27,144.57,37.37,2.43,2.9,1.8
2016-04-28,146.53,37.0,2.33,2.9,1.77
2016-04-29,148.53,37.47,2.43,2.63,1.8
2016-04-30,144.23,36.97,2.4,2.63,1.67
2016-05-01,139.97,36.17,2.3,2.63,1.57
2016-05-02,142.2,36.47,2.43,2.83,1.73
2016-05-03,143.5,37.13,2.47,2.9,1.77
2016-05-04,142.43,36.93,2.4,2.87,1.8
2016-05-05,138.37,36.17,2.4,2.83,1.73
2016-05-06,138.53,34.93,2.37,2.83,1.7
2016-05-07,133.3,34.5,2.3,2.83,1.7
2016-05-08,130.67,34.07,2.23,2.83,1.57
2016-05-09,135.0,34.57,2.13,2.57,1.57
2016-05-10,140.77,35.63,2.13,2.47,1.6
2016-05-11,140.5,35.4,2.03,2.47,1.47
2016-05-12,142.2,35.5,2.03,2.5,1.47
2016-05-13,140.3,35.5,2.03,2.7,1.37
2016-05-14,135.93,34.33,1.97,2.7,1.33
2016-05-15,127.43,32.0,1.83,2.33,1.23
2016-05-16,127.4,31.73,1.7,2.33,1.27
2016-05-17,129.3,32.47,1.7,2.43,1.27
2016-05-18,124.83,33.07,1.6,2.07,1.23
2016-05-19,122.37,33.2,1.63,2.07,1.17
2016-05-20,117.87,32.23,1.6,2.5,1.03
2016-05-21,108.67,31.4,1.47,1.5,0.83
2016-05-22,103.57,30.53,1.43,1.5,0.9
2016-05-23,108.67,31.53,1.43,1.43,1.0
2016-05-24,117.43,35.93,1.37,1.43,0.97
2016-05-25,122.03,35.67,1.57,1.43,0.93
2016-05-26,123.17,34.33,1.6,1.43,0.97
2016-05-27,122.13,33.8,1.6,1.43,1.0
2016-05-28,115.5,32.77,1.7,1.57,1.0
2016-05-29,108.87,32.07,1.6,1.37,0.97
2016-05-30,115.13,32.03,1.67,1.37,1.0
2016-05-31,120.43,33.5,1.63,1.37,1.1
2016-06-01,121.53,33.73,1.5,1.17,0.93
2016-06-02,124.7,34.37,1.53,1.8,0.9
2016-06-03,124.77,34.57,1.6,1.87,0.83
2016-06-04,123.7,34.1,1.6,1.87,0.83
2016-06-05,120.07,33.37,1.53,1.87,0.8
2016-06-06,125.57,34.47,1.6,1.87,0.87
2016-06-07,133.47,36.93,1.83,1.87,0.9
2016-06-08,135.57,38.5,1.87,1.87,0.97
2016-06-09,136.57,39.1,1.97,1.87,1.13
2016-06-10,139.17,39.37,2.07,1.87,1.23
2016-06-11,136.17,38.87,2.07,1.87,1.27
2016-06-12,134.3,38.57,2.13,1.8,1.27
2016-06-13,140.13,39.43,2.23,1.8,1.33
2016-06-14,145.63,40.73,2.2,1.97,1.4
2016-06-15,149.73,42.1,2.3,2.2,1.37
2016-06-16,153.07,42.37,2.27,2.1,1.53
2016-06-17,155.33,41.83,2.3,2.1,1.6
2016-06-18,152.87,40.7,2.2,2.1,1.57
2016-06-19,151.33,40.07,2.2,1.5,1.6
2016-06-20,155.47,40.33,2.27,1.63,1.63
2016-06-21,159.07,40.63,2.47,1.77,1.57
2016-06-22,160.37,41.57,2.5,1.9,1.5
2016-06-23,154.67,38.1,2.6,1.9,1.57
2016-06-24,149.57,38.2,2.4,1.9,1.6
2016-06-25,143.7,37.23,2.3,1.9,1.57
2016-06-26,139.13,36.67,2.33,1.9,1.6
2016-06-27,145.0,38.33,2.27,1.77,1.73
